Date,City,Visitors
2024-01-01,Zurich,0
2024-01-01,Brussels,0
2024-01-01,Milan,1
2024-01-01,Dublin,0
2024-01-01,Berlin,0
2024-01-01,Prague,0
2024-01-01,Rome,0
2024-01-01,Barcelona,2
2024-01-01,Budapest,0
2024-01-01,Vienna,0
2024-01-01,Florence,0
2024-01-01,Madrid,0
2024-01-01,London,0
2024-01-01,Munich,0
2024-01-01,Amsterdam,0
2024-01-01,Paris,0
2024-01-01,Lisbon,0
2024-01-02,Prague,0
2024-01-02,Zurich,0
2024-01-02,Berlin,0
2024-01-02,Florence,0
2024-01-02,Milan,1
2024-01-02,Rome,0
2024-01-02,Dublin,0
2024-01-02,Barcelona,4
2024-01-02,Brussels,0
2024-01-02,Lisbon,0
2024-01-02,Vienna,0
2024-01-02,Madrid,0
2024-01-02,London,1
2024-01-02,Munich,0
2024-01-02,Amsterdam,0
2024-01-02,Paris,0
2024-01-02,Budapest,0
2024-01-03,Brussels,1
2024-01-03,Milan,1
2024-01-03,Dublin,0
2024-01-03,Berlin,0
2024-01-03,Zurich,0
2024-01-03,Rome,0
2024-01-03,Barcelona,4
2024-01-03,Budapest,0
2024-01-03,Prague,0
2024-01-03,Vienna,0
2024-01-03,Florence,0
2024-01-03,Madrid,0
2024-01-03,London,1
2024-01-03,Munich,1
2024-01-03,Amsterdam,0
2024-01-03,Paris,0
2024-01-03,Lisbon,0
2024-01-04,Dublin,0
2024-01-04,Berlin,0
2024-01-04,Prague,0
2024-01-04,Zurich,0
2024-01-04,Rome,0
2024-01-04,Barcelona,4
2024-01-04,Budapest,0
2024-01-04,London,1
2024-01-04,Vienna,0
2024-01-04,Madrid,0
2024-01-04,Munich,1
2024-01-04,Amsterdam,0
2024-01-04,Paris,0
2024-01-04,Milan,1
2024-01-04,Lisbon,0
2024-01-04,Brussels,1
2024-01-04,Florence,0
2024-01-05,Berlin,0
2024-01-05,Paris,1
2024-01-05,Amsterdam,0
2024-01-05,Munich,2
2024-01-05,London,1
2024-01-05,Madrid,0
2024-01-05,Florence,0
2024-01-05,Vienna,0
2024-01-05,Lisbon,0
2024-01-05,Budapest,0
2024-01-05,Barcelona,4
2024-01-05,Rome,0
2024-01-05,Zurich,0
2024-01-05,Prague,0
2024-01-05,Dublin,0
2024-01-05,Milan,1
2024-01-05,Brussels,1
2024-01-06,Paris,1
2024-01-06,Brussels,2
2024-01-06,Milan,1
2024-01-06,Dublin,0
2024-01-06,Berlin,0
2024-01-06,Prague,0
2024-01-06,Zurich,0
2024-01-06,Rome,0
2024-01-06,Barcelona,4
2024-01-06,Budapest,0
2024-01-06,Lisbon,0
2024-01-06,Vienna,0
2024-01-06,Florence,0
2024-01-06,Madrid,0
2024-01-06,London,1
2024-01-06,Munich,3
2024-01-06,Amsterdam,0
2024-01-07,Prague,0
2024-01-07,Berlin,0
2024-01-07,Dublin,0
2024-01-07,Paris,1
2024-01-07,Brussels,2
2024-01-07,Amsterdam,0
2024-01-07,Zurich,0
2024-01-07,Milan,1
2024-01-07,Rome,0
2024-01-07,Madrid,0
2024-01-07,Budapest,0
2024-01-07,Lisbon,1
2024-01-07,Munich,3
2024-01-07,Vienna,0
2024-01-07,Florence,0
2024-01-07,London,2
2024-01-07,Barcelona,4
2024-01-08,Brussels,2
2024-01-08,Milan,1
2024-01-08,Dublin,0
2024-01-08,Berlin,0
2024-01-08,Prague,0
2024-01-08,Zurich,0
2024-01-08,Rome,0
2024-01-08,Barcelona,4
2024-01-08,Budapest,0
2024-01-08,Vienna,0
2024-01-08,Florence,0
2024-01-08,Madrid,0
2024-01-08,London,2
2024-01-08,Munich,3
2024-01-08,Amsterdam,0
2024-01-08,Paris,1
2024-01-08,Lisbon,1
2024-01-09,Rome,0
2024-01-09,Milan,1
2024-01-09,Dublin,0
2024-01-09,Berlin,0
2024-01-09,Prague,0
2024-01-09,Brussels,2
2024-01-09,Zurich,0
2024-01-09,Budapest,0
2024-01-09,Barcelona,4
2024-01-09,Lisbon,1
2024-01-09,Vienna,0
2024-01-09,Florence,0
2024-01-09,Madrid,0
2024-01-09,London,3
2024-01-09,Munich,3
2024-01-09,Amsterdam,1
2024-01-09,Paris,1
2024-01-10,Milan,1
2024-01-10,Dublin,0
2024-01-10,Berlin,0
2024-01-10,Prague,0
2024-01-10,Zurich,0
2024-01-10,Rome,0
2024-01-10,Barcelona,6
2024-01-10,Budapest,0
2024-01-10,Lisbon,1
2024-01-10,Vienna,0
2024-01-10,Florence,0
2024-01-10,Brussels,2
2024-01-10,London,3
2024-01-10,Munich,3
2024-01-10,Amsterdam,1
2024-01-10,Paris,1
2024-01-10,Madrid,0
2024-01-11,Rome,0
2024-01-11,Prague,0
2024-01-11,Berlin,0
2024-01-11,Milan,1
2024-01-11,Barcelona,7
2024-01-11,Brussels,2
2024-01-11,Dublin,0
2024-01-11,Budapest,0
2024-01-11,Zurich,1
2024-01-11,Vienna,0
2024-01-11,Florence,0
2024-01-11,Madrid,0
2024-01-11,London,3
2024-01-11,Munich,4
2024-01-11,Amsterdam,1
2024-01-11,Paris,1
2024-01-11,Lisbon,1
2024-01-12,Brussels,2
2024-01-12,Milan,1
2024-01-12,Dublin,0
2024-01-12,Berlin,0
2024-01-12,Prague,0
2024-01-12,Rome,0
2024-01-12,Barcelona,7
2024-01-12,Budapest,0
2024-01-12,Zurich,2
2024-01-12,Vienna,0
2024-01-12,Florence,0
2024-01-12,Madrid,0
2024-01-12,London,3
2024-01-12,Munich,4
2024-01-12,Amsterdam,1
2024-01-12,Paris,1
2024-01-12,Lisbon,2
2024-01-13,Berlin,2
2024-01-13,Prague,0
2024-01-13,Zurich,2
2024-01-13,Rome,0
2024-01-13,Barcelona,7
2024-01-13,Budapest,0
2024-01-13,Lisbon,2
2024-01-13,London,3
2024-01-13,Florence,0
2024-01-13,Madrid,1
2024-01-13,Munich,4
2024-01-13,Amsterdam,1
2024-01-13,Paris,1
2024-01-13,Dublin,0
2024-01-13,Brussels,2
2024-01-13,Vienna,0
2024-01-13,Milan,1
2024-01-14,Zurich,2
2024-01-14,Rome,0
2024-01-14,Prague,0
2024-01-14,Brussels,2
2024-01-14,Dublin,0
2024-01-14,Milan,0
2024-01-14,Barcelona,7
2024-01-14,Berlin,2
2024-01-14,Budapest,0
2024-01-14,Munich,4
2024-01-14,Vienna,1
