Name,Rating,Photo_URL
Barcelona,N/A,https://lh3.googleusercontent.com/places/ANXAkqFFmO9a50w-A0l22Kg_nqJ9lEy8UP-RIEbh1qbidLDGiCyvM_bxLMxIJb3fSzaymZki2x7BGQQgRk6oZcDW2jZs2R0ICmnknx0=s1600-w400-h400
Hotel NH Barcelona Centro,4.1,https://lh3.googleusercontent.com/places/ANXAkqFySPsg80vHkj2hNg11dm3s0Om_EGoHoQcpnd3B4xpADW6lT10si_b5ckDQlzgzp1OK5ikt8GT72DhjixnjOPlkSZSIcnl55mg=s1600-w400-h400
Le Méridien Barcelona,4.4,https://lh3.googleusercontent.com/places/ANXAkqELCHiGoa3pIqx5r7c-Bb-t4ziLgHMNp0AaEXRXy3tg-UmJAnwxWvoQbSjGiKdiINy1XdzbR-bbp7zCdnlD7SF7XCSzjAd2f1E=s1600-w400-h320
Hotel HCC Montblanc,4.4,https://lh3.googleusercontent.com/places/ANXAkqFTLPP0m1Ic0ny9VtxEjDR_-i05dq3cnYKgyyqUZez44GFegIesB_hrwy0E6F8mZms6fo8n0V3SKxXPT2MIHZfoCs1ecAGEFx0=s1600-w400-h400
Hotel Silken Ramblas,4.1,https://lh3.googleusercontent.com/places/ANXAkqG1V0sRPjRBSxcuTE3XB4bV8m_UjWUq43SX0S7MWL06OL175-Y3s5o2kwy6TvdHh-LvC8oiYI_SMFirTt2g5LQneXIymv8P2p8=s1600-w400-h400
Grand Hotel Central,4.5,https://lh3.googleusercontent.com/places/ANXAkqFz0FCvSHe3Gxaq6Zhsj-uKi_LpFQtMnE92kSMyAzR9EUbKSBj_TUdxU4BALvOWoD3x0_jyyqdHE2IXouoHnQjI19644KONX14=s1600-w400-h400
H10 Montcada,4.5,https://lh3.googleusercontent.com/places/ANXAkqFpPGU25CxwHb8IgUuGeDUmK5CUV1g7jYIKInBbnDLIfzLwnJg5kp5SiZ-EPEZUDDtMk2npDbXeHPmanYebh-NZYQKUqZUVyAQ=s1600-w400-h400
Hotel Pulitzer,4.4,https://lh3.googleusercontent.com/places/ANXAkqEu2-0bxfQQMdIjc9TdSmdKZ6WQYoZd7Tpa33VzV68gRRaltn6mrL5-htSFlmoEZMn-Lrf5zPA0rNIqA4Ic1slL_437ajaNRH8=s1600-w400-h400
H10 Catalunya Plaça Boutique Hotel,4.3,https://lh3.googleusercontent.com/places/ANXAkqESy7yxNM3VH_YSD9l3Jh9YeKaX9TSpAC21txXEDfvW2hfcD-OMl2cwhEBcSPH9BJoPh7Gp9rD-MzTKgL1if1x-HZYRGeQSNSo=s1600-w400-h400
RAMBLAS HOTEL powered by Vincci Hoteles,4.3,https://lh3.googleusercontent.com/places/ANXAkqGkyx8P1XhiXUwqqdhZPoXIYoFM1HxGxafSzp58NnRb7EEaAuRIILQzYfencr_YhIoNHW8dHiGZNHvJ0ZkC7gVwd85CbtJPweY=s1600-w400-h400
Hotel España,4.5,https://lh3.googleusercontent.com/places/ANXAkqHcLK9dOeFgxReH2t-Be9ImKtXUQK0JD3-tfvHDcbur_629cYCo6SfHxTNFepWVqGOQToemoe04yGnPaneMOd966f_dt7-oH7M=s1600-w400-h400
Oriente Atiram Hotel Barcelona,4,https://lh3.googleusercontent.com/places/ANXAkqFftxMGZiMyPV6FdHMTI6yWBYc3nmZSKyZvCQxUxSWuE98bx_VH6TAbULtKWOsyFcsCF_3yMd0rfiL49mYNjkHkwz0iP5qZ0Bc=s1600-w400-h400
