Name,Rating,Photo_URL
Grand Hotel Central,4.5,https://lh3.googleusercontent.com/places/ANXAkqFz0FCvSHe3Gxaq6Zhsj-uKi_LpFQtMnE92kSMyAzR9EUbKSBj_TUdxU4BALvOWoD3x0_jyyqdHE2IXouoHnQjI19644KONX14=s1600-w400-h400
Hotel Pulitzer,4.4,https://lh3.googleusercontent.com/places/ANXAkqEu2-0bxfQQMdIjc9TdSmdKZ6WQYoZd7Tpa33VzV68gRRaltn6mrL5-htSFlmoEZMn-Lrf5zPA0rNIqA4Ic1slL_437ajaNRH8=s1600-w400-h400
Olívia Plaza Hotel,4.5,https://lh3.googleusercontent.com/places/ANXAkqHBWka3gkNjX8Fx5PznBW6YiCVrCCvMfFU2q3dal8NsuGp3FrdMx3xNv3-gofnthLEKNNLAxOHbs6XRX2ExV0RTFT1CstrSuyI=s1600-w400-h400
Thai Barcelona,4.2,https://lh3.googleusercontent.com/places/ANXAkqH6eStvouM9GUjc5cINRVN8IlzjhpiktF7v_IHYBHqYn91y5S5zgjdpGEXcOKTwjeaPiNgT6kYXtOPdyYy0XrQBRltQsrhfFM8=s1600-w400-h400
Ohla Barcelona,4.5,https://lh3.googleusercontent.com/places/ANXAkqETcuftcBT32uoJ4fHZohLrlA5uCpij2_IW8zvXtoS2jDmQiTEyLrB0NPWNNHTPD5eNKkH75_J7DUe4QjP4FCVeGILNSGZpfV0=s1600-w400-h400
Hotel Constanza,4.4,https://lh3.googleusercontent.com/places/ANXAkqHFRdpp92zBIPyzFoJwBhygtKA5IG_aq-8C_7WjOLQg9YXux4myorHINXmq9iA2Rcg9o5nHmpRSPDKe0-yNU79jAG5XWzBGCnw=s1600-w400-h400
Hotel Barcelona Catedral,4.3,https://lh3.googleusercontent.com/places/ANXAkqE-A7XmfW0NM6l73ooqVlmk7rEDvd-KjyXcEjN4OrP1gNebsQxu1r0UcY1KrXYpMo5Yu97fy3ZTyaxGNv4PnplHUvISt1xN64Q=s1600-w400-h400
ICON BCN,4.4,https://lh3.googleusercontent.com/places/ANXAkqE22Vc4LwWMtcRjWxn-XyW9JUjwAx3P58LpzC-p688cG43X44rzV_DEIrgPQTVmWEsaU5wxIDo7KnYTf27GQ7Dlwd5vuBtVqg=s1600-w400-h400
Da Nanni,4.0,https://lh3.googleusercontent.com/places/ANXAkqGMfDBsTrU-5NulJkyx50fTJB9n2k0uJOd1gGxHMaG7fgZ5iuQe5YFehMG2H8I55HhUEq3hHqYPveAX4qMt2QzOfPMeafhwIJE=s1600-w400-h400
Los Caracoles,4.2,https://lh3.googleusercontent.com/places/ANXAkqFPjg_j6H99Msf5GPIlk6OoO3riWSBWBx2MU7-j9Yc3FplCGUENtNqQ15kVotCul6Hmj9CkymW6XQ7HRnh0jJtS8HTJmhYysQ=s1600-w400-h400
Hotel Roma Reial,3.7,https://lh3.googleusercontent.com/places/ANXAkqGL_qPzmE02eg_GCW3OAwrGTd4XNJ595bRqAadSRh0SzdflPl_7A0-L_Qp_k6GXh0n3dNAywaESxRkH94PMdb2iEgERoQFxH0I=s1600-w400-h400
Bar Lobo,4.2,https://lh3.googleusercontent.com/places/ANXAkqG0wzL2RucGUTZs-Zh3tvSDwveDey_Of2A9Ed19VxKqBy1Ej8B0DC2NXlvsmWlYs0LFAHMPRQCpBHfHQ996viEas1YoJbp5tCU=s1600-w400-h400
Hotel Ciutat de Barcelona,4.3,https://lh3.googleusercontent.com/places/ANXAkqE7FX2zkRcbmBW0IYSlufCrGzGImkoqIMQdBoDY7S49cwieLQ7DtftMGeXpHoDdaDVJ2lVIhf53WiZ4pJsvyZThJpXr2G9IhPQ=s1600-w400-h400
Elsa y Fred,4.4,https://lh3.googleusercontent.com/places/ANXAkqG2--P4aLRgTWPlAo0YS_WyX4NzghARJC3bJEWBodyuxySATGSVntHuh9DUJN_Wqw7n0duNyT4VN3kWHwPjU5YV7eK9gmfEpCA=s1600-w400-h400
Al Arabiya Restaurant & Cafe,4.5,https://lh3.googleusercontent.com/places/ANXAkqF97XDt4Dqix_zloo0EqACdgImLdvCk6D6IzYAkbRjpfLGMLUPvZ6o4FpWImkOIrpzU-tTJecKVwq7i4Tm5iiyaDIanG_ZpZDs=s1600-w400-h400
La Carassa,4.5,https://lh3.googleusercontent.com/places/ANXAkqGf5UqDLAdEWxvE0sCAQcz-655hB4w5AMlUZCNv5uXlsSExHRtr0Yc-_N7X66Z48tAjTVrDOCfGgflujWcBbGXcuuSuURzd3AI=s1600-w400-h400
El Drac de Sant Jordi,4.2,https://lh3.googleusercontent.com/places/ANXAkqH7f8gp6U1p1IO-fknNBzQwE0xVFDZnWBJkB3ofunZJHfHasI3sKXlGGbzmPDg7Jkm6GUBJj61vbP_OO6U0LaB_iAGK3EO9Big=s1600-w400-h400
La Fonda,4.0,https://lh3.googleusercontent.com/places/ANXAkqEHD7q9BiMaSQd_0V2PdzG4Dq7CsYXIjb37r-KRyM1E6f7lwxn-7fAxVh5uUuM3VXoRHUu1S4f0ETrwO3WY6amTgatCYa-jfAU=s1600-w400-h400
Pla B,4.5,https://lh3.googleusercontent.com/places/ANXAkqFnCS-rf2EnGSKlgqjwgNSwvSWX4qUrpfzAJDUI8pkwqUpr3B7xMC-m1IR-IX0r0G7TeRMGtbLljjzTKeT5rq_JFN5i6LBcohY=s1600-w400-h400
Restaurante El Boliche del Gordo Cabrera,4.4,https://lh3.googleusercontent.com/places/ANXAkqHzs7SK0i3GeBgmCFN57LN_R-VC7Ups30pw_WpWfI4KCeSGGCRC-rBift82JygLlOCjSb4teQbWcuFLnmaJSrmVFvaw4f_y8h4=s1600-w400-h400
