Name,Rating,Photo_URL
Hôtel Georgette,4.3,https://lh3.googleusercontent.com/places/ANXAkqFgM9kZdW_QAWenLu_iAYSN1pkP3_fsFYZfEn7lgV-WW-X_sK96ApMsZd215LIHvjhCbOx9Z_5eXWw9B4dqRkG63cye74U2Ekg=s1600-w400-h400
La Fourmi Ailée,4.2,https://lh3.googleusercontent.com/places/ANXAkqGOBdAd7CrXOe6EaZVt-2xal6mVB7qGJwL9Imjh3nHOpPT_VTDy74NfYmihfen4DU0S3aaRMwTVeWywsj51Nt-gtMmJR7SyF4k=s1600-w400-h400
Benoit Paris,4.2,https://lh3.googleusercontent.com/places/ANXAkqF-UG1ZUBCGhx1Vv_2k6nxgKaF4mlu5xCElqu1G_tXscCJFRqf1v5gPmekKWUvB7rd10DU2KsWTcXTK5yY6vrH8EBRUt0kVft8=s1600-w400-h400
Compose - Hôtel de Ville,4.2,https://lh3.googleusercontent.com/places/ANXAkqGnWozyYc_UjlHRt3xCAdxCoMmSK24a_UziWL7wWSKWSufz1yRepd8OemTh1quMHAmqAgL245rLchq_3dBPLlkbg_9HIoWiSrM=s1600-w400-h400
Anahuacalli,4.4,https://lh3.googleusercontent.com/places/ANXAkqGIioZYjquQOvLb41HGKSWQD3dTrgMc7RKN6Ss1wCzALpwZacAvEFddjKYwX5p74n7nqmM7FsaT5H8l6EmV9iMxqfspjW91CtU=s1600-w400-h400
Le Potager du Marais,4.3,https://lh3.googleusercontent.com/places/ANXAkqGtXy29f3XcDXfUdUaZs7nMchZrkIVIMS3_PdKvt4Yt-HboW1y_O6XcRr3Xqp4Fa12xX6Qda-MQIYPiyA51pg7g7AlsNXpVbGE=s1600-w400-h400
Georges,3.9,https://lh3.googleusercontent.com/places/ANXAkqEdT0MuP6-rC5FtlBqXHMF0pBLTq1cYoX3sWnONn4gWcNkhBOH2vaSAwFugB3E8y2MPWy-AP084My_LDW5lhM0KntwVAviBlGA=s1600-w400-h400
Shu,4.7,https://lh3.googleusercontent.com/places/ANXAkqFYmsgAYyKNurkMPOCXQ84T2oGjjF3-9Wd5tv0t6bPiTblnxe5oE8htBJeVerHb63YpyZrjl64xYJ6yz6J5WjQC1Kz9kI8Piy4=s1600-w400-h400
Le Paradis du Fruit - Les Halles,4.3,https://lh3.googleusercontent.com/places/ANXAkqEVBvdeuaIbAzNZHbttMTaG9L6ZB55UUEJsKqnqceP380ZCAaFcCNLif6y6nii_QAYSKh8TTFEummS6zsp-IN3mosYErt6IrBo=s1600-w400-h400
Kong,3.6,https://lh3.googleusercontent.com/places/ANXAkqEP1EJ3fpzE2l5ckV-ZIaP046D0WOJxdanIeX6q2PPuqfmKvNdXS8vQFeR3Ofj4AE7rPNvQeuGA8yHSa-3VcXFDyvj3vdR7P-g=s1600-w400-h400
Auberge Nicolas Flamel,4.6,https://lh3.googleusercontent.com/places/ANXAkqHAGPY1ornkkvtlfkGHob-ul7oUaR6l8IlwRzx1-bPdWEfrXESIA_Ige72VpXF9XGCiwjXQJSFM7pTXmCIn67ZgBd1NAFBG6xI=s1600-w400-h400
Le Zimmer,4.1,https://lh3.googleusercontent.com/places/ANXAkqGQFoF62n5veLJBv-kpN1V8OR1STxJRzAH5bXOekkx256wgLiLASm2pjntTxe-oe08PklYpzro69XP55oFEBtUXovzdFb8M8HQ=s1600-w400-h400
Flunch,3.4,https://lh3.googleusercontent.com/places/ANXAkqGzuBGYenI3JSAq_MOKyY3fhtXIw-AmGPxn-0wLfAPNaG74O841zsg7_xyDibWL2PJ6KyFs9s54HzOpRFG3Bq780y7ph0CHqpQ=s1600-w400-h400
Jaja,4.4,https://lh3.googleusercontent.com/places/ANXAkqHEAs93zK7LCI_9ecxOigLv8tjRJufQi9Y6I7I1H1R0IzDHd91dIUnQbU-mHlBsXUZrxQb4tqnl8Wb5zATu-XnRKo69aQIvOnk=s1600-w400-h400
Le Black Dog,4.4,https://lh3.googleusercontent.com/places/ANXAkqE_R0NoVSu3YSIw0bXTgKYcNUQkXaVZ0ImQ8IAlR3PxqOCK0oQM_fAUFwYMKSJj1JFMQ1I6lDNf_u-ulWALMCh4vgCdJ3NZ1us=s1600-w400-h400
L'Art Brut Bistrot,4.6,https://lh3.googleusercontent.com/places/ANXAkqE-jaXaRXfOHej2eEal3maOymqbiazrph9plaG3EGwXZdMTUdJZ9-G9ANeqh0TfKooopdchL94aH3KCmc5HOx46z6SHbD9TsPA=s1600-w400-h370
L'Orangerie Paris l'ile st louis,4.4,https://lh3.googleusercontent.com/places/ANXAkqG1tL2moyF5ail-nmME9qa1WrWhDk6ADaiaCtDSpERYLpJ6zTrN07ONBC7w2nEkOs9z8viysVQAaZlz6lNx8aQDulfN5-x3S8g=s1600-w400-h400
Au Vieux Paris d'Arcole,3.9,https://lh3.googleusercontent.com/places/ANXAkqHBeTBETEwXWro9HDdPUaw16u0J3svXW8E_o2QC8SFvnAnEQh9JpBvP5ICfbl_zLoMFzkLu6gu-BJ0AszlfnLr7W6kPfnFVMgA=s1600-w400-h400
Café Beaubourg,3.9,https://lh3.googleusercontent.com/places/ANXAkqEp8nC8HZuMHcQGp3ko-MSV8NtVwNWXqk3B9q92wMAMCICkMXXZ1woVFD88g-yNf0rjileLOPZlfUMskQJ91m85gVISIEAK4qk=s1600-w400-h400
Les Philosophes,4.2,https://lh3.googleusercontent.com/places/ANXAkqGgDI1Anmqccf5BGoUkmPifj1Aay_7QW3i8Xz2bD6O6DaNXvXTONDHaSMoeHLtmA0z8UaXcu8Fh5IKDJgzvWPdO-rP361qisB4=s1600-w400-h400
