Name,Rating,Photo_URL
ibis Amsterdam Centre Stopera,4.1,https://lh3.googleusercontent.com/places/ANXAkqEHnsvj6A7aEUgltWMUdl5m0THQrGuZs9svrYI-uxJ1B8KYqWph3vV-qO3gfgIG6WAvTy-jpiZAhzkYjNTWq2ew9OHBJXdUVws=s1600-w400-h400
Eden Hotel Amsterdam,4.2,https://lh3.googleusercontent.com/places/ANXAkqEv-JuJVT4gTtSWwT3x2vVS7jfHG_fZBodPs0hkICVzbHhIwUmWprnojvLM-rIC76FdkFhkfAMywr148066oQ_5IAPnF4JHT3Q=s1600-w400-h400
Café de Magere Brug,4.2,https://lh3.googleusercontent.com/places/ANXAkqHDf3kdT5Zedegshquwp7dVFMzGMhS9V42Cki1Jrj3Nbii-_TXgPNJmbve5lFuYs66d74dWe8kpO_4VrPU4bc3TXW3SDXvzgCY=s1600-w400-h400
Lo Stivale d'Oro Pizzeria,4.6,https://lh3.googleusercontent.com/places/ANXAkqGkC44-HCxCeSkcvTHhkzJcRpfWsztpc60sry3MJK91R2TU1NCHGr1JRJtBxrQ02Uoa2Q_l9_NJplxmbfmdhKkiYBmZPJ5BhFA=s1600-w400-h400
Amstel-1,3.8,https://lh3.googleusercontent.com/places/ANXAkqGaf9vMWSV9sP4EkuyzwjunMlidSgP63v_DWmHE5U9o78p5NsvILjo07VPGUDJIM4ZTyJ9_s-DF0Ab1WjwBs8g3yH5THDBkDx4=s1600-w400-h400
Frenzi,4.4,https://lh3.googleusercontent.com/places/ANXAkqHmqnSY8DjaFV9WZYBKjfFUhjyzQQ5yJTwasa2myLFCm86_KQjxACzsmgZ7mLVcyURxGxgNUbv1LE6JhAj8uPH8qSahfre-2Kg=s1600-w400-h400
soupenzo - jodenbree,4.6,https://lh3.googleusercontent.com/places/ANXAkqH8GX3_EzDY5WP38rHukSJMC4LDkPR1LehMs3eZQfTCCFcwCATQGa8jSTDPd0WivTR5o_G2JACh0d9IBz_mnwTMAX0i1Utyek8=s1600-w400-h400
"""Krua Thai"" Classic",4.7,https://lh3.googleusercontent.com/places/ANXAkqGggkL8uJCPy5Rn4bQIn8yFS7AfiWG8uCspovQdsgxhDv5bF4BF9TjC3inDNPSaDMJkxk36DfP5qskej2bq6XdjjsfyvBeBYxA=s1600-w400-h400
Eetcafé Blauwbrug,4.2,https://lh3.googleusercontent.com/places/ANXAkqG4GRAlZd34wLnZ7XItrUyLbz8x4CgLmTw2oV03AaSpLnvVoeob0bmCmTPVZdVSPHYas-3FXr1lrv6XSTiH8gTTFRkyhYDLaFU=s1600-w400-h400
Restaurant Olijfje,4.6,https://lh3.googleusercontent.com/places/ANXAkqHpJJFSgMvScO86NvDhZwN0cRVcfgH_ICekPcMFYjtEpTNHIgTJ8fEavG7Q-YygxZuUXywL_DXhL2TXBbJLZst8NlNVw3utyxI=s1600-w400-h400
