Name,Rating,Photo_URL
Grand Hotel Central,4.5,https://lh3.googleusercontent.com/places/ANXAkqFz0FCvSHe3Gxaq6Zhsj-uKi_LpFQtMnE92kSMyAzR9EUbKSBj_TUdxU4BALvOWoD3x0_jyyqdHE2IXouoHnQjI19644KONX14=s1600-w400-h400
Hotel Pulitzer,4.4,https://lh3.googleusercontent.com/places/ANXAkqEu2-0bxfQQMdIjc9TdSmdKZ6WQYoZd7Tpa33VzV68gRRaltn6mrL5-htSFlmoEZMn-Lrf5zPA0rNIqA4Ic1slL_437ajaNRH8=s1600-w400-h400
Olívia Plaza Hotel,4.5,https://lh3.googleusercontent.com/places/ANXAkqHBWka3gkNjX8Fx5PznBW6YiCVrCCvMfFU2q3dal8NsuGp3FrdMx3xNv3-gofnthLEKNNLAxOHbs6XRX2ExV0RTFT1CstrSuyI=s1600-w400-h400
Ohla Barcelona,4.5,https://lh3.googleusercontent.com/places/ANXAkqETcuftcBT32uoJ4fHZohLrlA5uCpij2_IW8zvXtoS2jDmQiTEyLrB0NPWNNHTPD5eNKkH75_J7DUe4QjP4FCVeGILNSGZpfV0=s1600-w400-h400
Hotel Barcelona Catedral,4.3,https://lh3.googleusercontent.com/places/ANXAkqE-A7XmfW0NM6l73ooqVlmk7rEDvd-KjyXcEjN4OrP1gNebsQxu1r0UcY1KrXYpMo5Yu97fy3ZTyaxGNv4PnplHUvISt1xN64Q=s1600-w400-h400
Bar Lobo,4.2,https://lh3.googleusercontent.com/places/ANXAkqG0wzL2RucGUTZs-Zh3tvSDwveDey_Of2A9Ed19VxKqBy1Ej8B0DC2NXlvsmWlYs0LFAHMPRQCpBHfHQ996viEas1YoJbp5tCU=s1600-w400-h400
El Drac de Sant Jordi,4.2,https://lh3.googleusercontent.com/places/ANXAkqH7f8gp6U1p1IO-fknNBzQwE0xVFDZnWBJkB3ofunZJHfHasI3sKXlGGbzmPDg7Jkm6GUBJj61vbP_OO6U0LaB_iAGK3EO9Big=s1600-w400-h400
Rosa Negra (Vía Laietana),4.3,https://lh3.googleusercontent.com/places/ANXAkqGevHVRq4aJpcGLqbpcs-scH5X0YJUE_iF9G2kNeqxotUopc8OjT0jNVF0qPB3TtxWJIKOv2mNDNxAcwPFcvWnZjRNS546_p7Q=s1600-w400-h400
Hard Rock Cafè,4.4,https://lh3.googleusercontent.com/places/ANXAkqFb1on9nwFphZgt2rygYF42MX1DpyL0j7ntMmWW95VH1pFB5rcl1oqyWStCu3-uZWGP_NeaB7P7OD4-ldCZ-2FtryeD5b5UnJw=s1600-w400-h400
La Dolça Herminia,4.0,https://lh3.googleusercontent.com/places/ANXAkqHEnVZYNrvuEpVf3VQHtSkeuF_HiuGaNWBGMhd63-pjzvW9hR8x9ONfjzgXFMBWK0XTvWqLXAPiEMGiJTNeZLcWmpqF4_Vb87M=s1600-w400-h400
Kitchens of Saint Catherine,4.1,https://lh3.googleusercontent.com/places/ANXAkqFCOkhdf1faAn1FRAdK9g9iFJA3aQzggHeQse7GDH1lg64JlPQq89cNEXSznONOy51QsPZ3HkAcqVckP15Bz0Uj4EqcW-957Hw=s1600-w400-h400
ORIO BCN Gòtic,4.1,https://lh3.googleusercontent.com/places/ANXAkqEln-CjhetnbqHNkdPRzZb1fak2ZYW8R0iGI8168u_JNEqMlw_6_Epit8kj1qk7YHDTInXiyr4oF45KYHHhnPPyfW9aatLmUoA=s1600-w400-h400
Els 4Gats,4.1,https://lh3.googleusercontent.com/places/ANXAkqF1yrKh2rWhxGk_qJa2slPvy-m9oBoZFmQEaRyjbxjKaJNomOge6D688Byx9YiSJKgfInZofiIG8gtgGsRvn7-_YgSyIKZiDM8=s1600-w400-h400
El Pintor,4.2,https://lh3.googleusercontent.com/places/ANXAkqE1lLtMwzc-uVlriRTeXq-DAXuyPo7DnAocPuDCxU8VJhUnG38cgiZRBT9oOAeTBoXQR-wUcn-OQDbTTlUUZ7tXBLBuLqhYQBM=s1600-w400-h400
ATN restaurant,3.3,https://lh3.googleusercontent.com/places/ANXAkqERgYCrvylZcP-VeoZy9Euf2JvTptOL6A5HtwcU1r1q6mZHFJuw_F6ZpnOzYOKvWl7SCrovXCDSaykf9A925Zq6Gmr2_lq8tHQ=s1600-w400-h400
Shunka,4.6,https://lh3.googleusercontent.com/places/ANXAkqEic6khPjQJTQM0javQtrjpkHGhdws9gLzF3cHurO3GF3uliLYpNIDgXsBL3hYLXRw-0RC08PMdUl8Qi0wtIvZlZwqBthpiwLc=s1600-w400-h400
Taller de Tapas,4.3,https://lh3.googleusercontent.com/places/ANXAkqGsq2oppoJuvmGeUwVM7FhgGnoKsFPEJm5Z5gNgARQ5jABkxi6e7KDLiG8df4LtkUZDNoXDSQbftvE6EwiUAKPyD28mpeDbsiE=s1600-w400-h400
El Quim de la Boqueria,4.6,https://lh3.googleusercontent.com/places/ANXAkqEZmJV7KNGjNZKw5byXyvw4K8pBHXJ8vS_c8gRpOh62Jp6MeaM30pEZDRwYqx_cESxLF5xp9Z_bftwBx_cgxzJDhfVhk-sTLWM=s1600-w400-h400
L'Ovella Negra Ramblas,4.2,https://lh3.googleusercontent.com/places/ANXAkqHUy9sX3_HgCrRwC4YNJ3alnhBEFNDOFGVG3xTyRpq5TvdGwRbs9f7gWlqHURugIPeMnBJzLSkUY5QogaiGL0qqkD5C24l65SU=s1600-w400-h400
La Lluna,4.2,https://lh3.googleusercontent.com/places/ANXAkqGBskv1StrRo0GJGIiOjxiqpXTjZWuW6hScNgP37xSCTYR26Z2kKqlg0nmCQlARmp-4McBq6WmeS9hCh5xxR912bhOR_2oZ7tc=s1600-w400-h400
