Name,Rating,Photo_URL
"Radisson Collection Hotel, Berlin",4.4,https://lh3.googleusercontent.com/places/ANXAkqEujE3abGx1-zUXZFUNJvGZDyaZmCBKkGK0DY-rRNOUnF7lQ5U5gqtDXmxP5UxPxVf_ddmI9LOjXoPO20-3b9PnCel7Yiy9CkA=s1600-w400-h400
Zur Gerichtslaube,4.4,https://lh3.googleusercontent.com/places/ANXAkqEylEpFSTMbm-wvi8sjnVYZMKRqG6WdeYLQ2RUSLuui36Tast-GDKcgIw49x4cUDOt0E10xuDXEDiOSBXUN7d1ErVmJ_uQH9d4=s1600-w400-h400
BLOCK HOUSE Am Alexanderplatz,4.4,https://lh3.googleusercontent.com/places/ANXAkqG72m9vkV8Vlp_-ks7Hho8BDqJT-JN452TK7qJkMhaVvKf-iciUai8R25shiQnjQKnADxHAQS21lapDNhTBumGVhJeHKfcD5oY=s1600-w400-h400
Brauhaus GEORGBRAEU,4.2,https://lh3.googleusercontent.com/places/ANXAkqFSLn4X8Q-04gQ4WL3i9L0J7zroZrB3AC2zFxPFH9yy-tzlHPjSUSDcD3bX9nyvjOH_LlN58btBD8QdfV3MAaHmQKKnLmGNjFw=s1600-w400-h400
"Das Lemke - Biergarten, Brauerei, Deutsche Küche",4.2,https://lh3.googleusercontent.com/places/ANXAkqF1yv1Jxkw5W7RelIPL6ZCvn0J0ZpeqhJaS-siG70FhUO2Bd3uTzh3NwEgl8An026sg4KUOiaEQSAoiI6vjyns3tA1EBwcwh-o=s1600-w400-h400
Mutter Hoppe,4.4,https://lh3.googleusercontent.com/places/ANXAkqHCQ-nJeCh8ZJdo33OueGLlc8m7GJAjMGCB3pbyM_tX4A9zQ_DZ94x-sE6AQB0I1lwxY6MmZ9gd6bJ91Zkz9uV4PW9xfoJhOrs=s1600-w400-h400
Kilkenny Irish Pub,4.3,https://lh3.googleusercontent.com/places/ANXAkqHuqr2nxzYq94jg9avsZZgZnQyhEjjVnZsbkz03zsMwR8ysCZk_rBzD_Wfs_NEZ__O8znxLPnAw6oIqxJNKQ_oJxeYZb2LfqSU=s1600-w400-h400
Spreegold Mitte,3.8,https://lh3.googleusercontent.com/places/ANXAkqFuR_Cln4ZITcZ0p2sSE4z-jJXFK3UrhQMDnq4qEFkOIq-3EHb1g497FutdQ_WJ7cNckXISahvZzeo9hVooPVIVgNDJNAfnONg=s1600-w400-h400
Trattoria Peretti,4.1,https://lh3.googleusercontent.com/places/ANXAkqHlwtiMu-8NnbZ7Q9uvPWXLVUWhdaNEz_H4HX4uKYOojnRDWCU25Emi7JEgvmKD9XmwzLRA2gztkw-66y4VlTnFfu86jvBfpkI=s1600-w400-h400
Hafenbar Berlin,4.1,https://lh3.googleusercontent.com/places/ANXAkqGJ04cgKMzcd4hhnbTGnfi9aNQSIUoSr3rVgYRA_vu8LtWqRFMn5Bi0wEeL-fTxzbInyHf9GZdmAsoH9yWH1tcxu67KNAkETYw=s1600-w400-h400
Ristorante Piazza Rossa,4.0,https://lh3.googleusercontent.com/places/ANXAkqF2abxfEowwqorfFs7Hhp_x2rQ7ku2fXqnL3PYUJbHWgxtBui1yME_-zDKlMVDY0D8Eoc3ya08b-3xQHhuQD0mHw8_NAjlCS9o=s1600-w400-h400
Andy's Diner & Bar,3.6,https://lh3.googleusercontent.com/places/ANXAkqG9pBAd7JV_p9qiNwxZve24NNGGBnG86o56tYh-WilB_CZYB8iI1AF6vFb2vCnW4PToT0JtejgGa62YlJeWo70-IH8B5buXkvQ=s1600-w400-h400
Aposto,4.2,https://lh3.googleusercontent.com/places/ANXAkqEf8Ar61AHSzMQ1vZfedoar92FK3wvHyxF1fNBxBLWxyLwgCeKji6u2u927p-kCD2dcsj2GwyyjMtmwebTOAjZT7AA3dkMLnLw=s1600-w400-h400
Zum Nußbaum,4.3,https://lh3.googleusercontent.com/places/ANXAkqGMcC7J25kVlldAAJyTC9iAYHofB6HhpJEzng2Mcx7DN7708LOge8oSdhZrzdVQwab19J_jZ69INmJRrw6JwqL_BU0JlzHheuA=s1600-w400-h400
Tuans Hütte Thai u. Sushi,4.3,https://lh3.googleusercontent.com/places/ANXAkqH1MycEjLb45bI8Pxtl5RYyeI7jIAvHJ1L6WO2CV-PxbAc5oLClRJXa09ngxW-ITmtUlR48oesIvkMs_bJA5h9n2bXceGONFR8=s1600-w400-h400
Berliner Fernsehturm,4.4,https://lh3.googleusercontent.com/places/ANXAkqHhy5VwRCytVNta3xlVA-VwDLdLZLruLGGy4bymp98WVEgNka3GWmmLkIBVhumc28ghJ6LvHTK7abY7CzKCeRw8c2iVb9IwxPc=s1600-w400-h400
Shi-Mai,4.0,https://lh3.googleusercontent.com/places/ANXAkqGLmyDYVUpioTYltB2bKHhRUklr2N8zgHcEhTUQgPWh7d3Z3D2rx2BcCIbplYZOXW06FR6imd1vz-gvwH_PxJ0G55DMQyuaxUc=s1600-w400-h400
Cancún,3.4,https://lh3.googleusercontent.com/places/ANXAkqFANu73zsNaCEP0400VP6W_76csVQd6t1rbhsk63f9DDBcgjsgcE6QAAWi1PJieYVPCivI6m5SdZZconRtVoZO4Ch_XX_8wd4w=s1600-w400-h400
NORDSEE,3.6,https://lh3.googleusercontent.com/places/ANXAkqHX94IEeOBwda6Ad9830dOqveJKLVPGrOKIoVRhRbQdjPoceridPoxXAggfWL0IgBJncrXHNg399jBLQbOTTQvWfL3YPehic34=s1600-w400-h400
Palm Beach Mitte,3.9,https://lh3.googleusercontent.com/places/ANXAkqFd9GGszpoejm6UIgyebskGHm3gfspkEzIOK9RM8vdUx0agye98BXvd4IgY0YryroejwVH9OpAIpRt9wK8FtL_xIGCeAuTYpr8=s1600-w400-h400
