Name,Rating,Photo_URL
The Dominican,4.4,https://lh3.googleusercontent.com/places/ANXAkqFcqUyQAjc0N3Lm-t-TFmcMFUNc8QmkeWZ6OUtvXLZsDG6LXuLmVeEW446GzonSGhhsI8EKP1Qaeeuz5Gr_KX6JGndR5cTP-co=s1600-w400-h400
Novotel Brussels City Centre,4.3,https://lh3.googleusercontent.com/places/ANXAkqF5c4ItjAVxxxlXrQv1LtLWu4gyciqZ91pJ5jgGn41832SUVwzpo9DU3cYYdIT0thzmzBpTCyxGoDDWj5853UublTBOFLuGUYw=s1600-w400-h400
Astrid Centre Hotel,3.3,https://lh3.googleusercontent.com/places/ANXAkqH-qiQMRv70vXTnXziKTmIOUZ3dvCApm0N6MOMWAwl8U6zPUoP5lVqZ01b4q5FE5RnmNQhLLH3_1l_hnK84Y1grXWX5dwkWgA4=s1600-w400-h400
Hôtel L'Espérance,4.2,https://lh3.googleusercontent.com/places/ANXAkqE8P_1YtedyLDSmXRrckF_OUrISO5TQ3X-0D7G-C7PLakFgavXxNHliZ6zcp9pHuOg-M2wE3__hq8XTGcWzMqnkt8OGMtf4BzA=s1600-w400-h400
Restaurant de la Bourse,4.3,https://lh3.googleusercontent.com/places/ANXAkqEBU7dMnVJojNfcjbbT0-fvDTYS5zy5h2Pl10EoL6Rpllf1DmXhyDM3Fu7ITQTIWWEL8_Ix6SUwmskBu38s69aj3I3UwVnXg8o=s1600-w400-h400
Grand Casino Brussels VIAGE,3.9,https://lh3.googleusercontent.com/places/ANXAkqEDvHqoU7JvBiu4JVV4G-_0Q9JPStlCejyvgaoeA26KldioCK1wN7E1k7vlEWDeQ0KGjUUo_RarspsRK42wpuzVV27UzZSfyC0=s1600-w400-h400
À la Bécasse,4.3,https://lh3.googleusercontent.com/places/ANXAkqEIZI1GAlphmGYH5W7KydD6cU1EUDQO4EasJ358pizFZnSbHKDXLEQ2gBmAb_H2eXmob0z2FxtHEyRrJ4G5uhcJoGulNSXF54U=s1600-w400-h400
Belga Queen,4.2,https://lh3.googleusercontent.com/places/ANXAkqGy2cs3o2G8pLdmHZZgaxuJer2bto-6a3goSfkhdycGxKJdngGUQ2XJUnkj66RGAYoZ9_cIfG6sY0dFerw17WayqxRsa-XsDCM=s1600-w400-h400
Aux Armes de Bruxelles,4.1,https://lh3.googleusercontent.com/places/ANXAkqE_kDcAmQUaXKk48cX-9Cofn21O1c3oVHvqIvTSUn4PN6poyFBQoXcQbopb2sA57SSglM7KQ6Xw-VoB29F1qN0rNZA1UMqh3EA=s1600-w400-h400
À La Mort Subite,4.3,https://lh3.googleusercontent.com/places/ANXAkqFiOPnpm3TYjVxquyWbzuadOkJ79Wo3t7-IZ_2fiJZJYlN2BWsplcUJd-IdRU_YYnbbQQ43UG-HwNt2QXWPeuU1zeJ0ImgP_g=s1600-w400-h400
Falstaff,3.3,https://lh3.googleusercontent.com/places/ANXAkqHu-04V-0H5FazBpHuJvtz5UWgLn8MDX0oN_eypp7dRXap7b_Jgtzi0ezSxXpAYa-eZMEv_UbFb4Llt7b_UNB6xJOEeRhyi5s0=s1600-w400-h400
McDonald's,3.6,https://lh3.googleusercontent.com/places/ANXAkqGAnRlJ_TlwVr454-3PwfTiMBO51ECTTszBgAvwhlDYJkflhCPcv3mKSKCDJF8vScFNqhByZVvXsDLMepWCDOBH64RnEvmvXb0=s1600-w400-h400
La Brouette,3.9,https://lh3.googleusercontent.com/places/ANXAkqH-U1ZpayFovlgCAyJqQM4xyjjpC4s7RmqVIhi1y0apYVBznb07OaDd6PcTCodQaLztrPlCuxWrUG7AdT9xn4jgjGW2TfEppME=s1600-w400-h400
Ricotta & Parmesan,3.9,https://lh3.googleusercontent.com/places/ANXAkqFZoe_w9pEiKC3wI6m61nYPgix_ZPg8jQNuRVe5V6BhPsRJZ7QGEazG9_Mth2oEpmcOxbNxHgww2_IcvNbFejAfhoBzGrp4xko=s1600-w400-h400
