Name,Rating,Photo_URL
Belgian Brasserie Henri,4.6,https://lh3.googleusercontent.com/places/ANXAkqEzhNWX4bcze7fWgwYXOwvU6_awbdK2OYaq0e_xcrdzAeaKn4RMF15TwaE6N95rVwzcvTdp0OizAwnExyLXKoGn5R8EoSwl-w=s1600-w400-h400
Coffee House Korona,3.4,https://lh3.googleusercontent.com/places/ANXAkqHwVb5d7QloJcpzlUnGvslN_nyDiedJZWuc3Pz0vslOnkfjW39EkD2SYTcy3bT853-9edEC2M6oMbI9ZRV0gYvbgmuHaelQdRA=s1600-w400-h400
Al Buco Italian Pizza,3.7,https://lh3.googleusercontent.com/places/ANXAkqGY3B6UhC-6mu2BnWvl3hZuilPVc5UwaxKINhFJQ9986VO9tr956RJHRPzqTyBRA3xjt4ydizqPFlrTdzhUtE6n1frqAtM3lIg=s1600-w400-h400
Budapest Terrace,2.7,https://lh3.googleusercontent.com/places/ANXAkqGKRvn_N0KsAEBVO23ers7gfZGuvwFv7oxOgDEqPHOrOL7zpi7-GjjI6UxPqUZTidSQ6fIWXkjevnNyq9tJMZCXUMnfTbdyaA4=s1600-w400-h400
Meat Boutique,4.3,https://lh3.googleusercontent.com/places/ANXAkqFB9gfdsH22nDr4zcZIlUjgciKOCsqXNn-fcCTyXQ_D6-mPctBmvnT6_1k25it2R0uhShtFeKOcEVlxYnhMSAbPGvvRkbFVJsU=s1600-w400-h400
Ildikó Konyhája,4.5,https://lh3.googleusercontent.com/places/ANXAkqE6CGtGgnLYynpFpOrhRIOKflW4ZadtktVmlYbc5txTHkC8jvivzYwAnQtEjzoYBBk58ssW5v-NSQy1goNbFgdnC9hgfLlxCAE=s1600-w400-h400
Zërgë Coffeeshop,4.8,https://lh3.googleusercontent.com/places/ANXAkqHoTuvdrTABJVTZletYGstnzfvP3u6pHPcuuhYj_8EnyzK1K7CBZOKd6js3NiBK5YgJ3E610VSmluRxHymbpKUP-c2rUVQYpiM=s1600-w400-h400
Hunyadi Lakásbisztró és Kézműves Söröző,4.3,https://lh3.googleusercontent.com/places/ANXAkqHk65X4e9hVLoAlp9_cVeOjY95M1wqnMuLaMkq8C6NS5Cja-Jjg72YhshXZzv51bb8Of2BIDlyr7l0YwcfpejzKIccUIOFkTfk=s1600-w400-h400
NOOR Lounge & Restaurant,4.5,https://lh3.googleusercontent.com/places/ANXAkqFLmqbOyzJ1dT0BYQjqWY_ksONjINb1OsT9XYJMOJkyP90QgfV2iz5aik8lX0iMS-65gkoJGr6EjRgOeRc7L67BfkebkBK7M2c=s1600-w400-h400
Pater Marcus Apátsági Pub,4.5,https://lh3.googleusercontent.com/places/ANXAkqHFwqqgE-MwccuCQD-fW0szUp7yKlRq5FR-Yb3fxo1vMa14kXDl5U655a8zh1FCxXLbi4qaoK4oXsbGYTnR4sr3lWmJiwoBzZQ=s1600-w400-h400
MoszkvaTér,4.5,https://lh3.googleusercontent.com/places/ANXAkqETa9j18GqW9aGg8FpnkcI_lBA6cbd-8oAYu8UMDoftORTIpuzIH8U9jx6DQc0t0_uh2IjelaHS81SQSL5RXSDel0i84UCMq6k=s1600-w400-h400
A&J Partyservice,5,https://lh3.googleusercontent.com/places/ANXAkqHhfpzEz8NQR0zBQ9dHM90_eFHXcki0W4mzt-y3VZvBCcUhHlArFta1X4esbji8ACfPH7rHWMtQ9j1esh12Rwzw2SrUq0Ogq-Q=s1600-w400-h400
Pavillon de Paris Étterem,4.5,https://lh3.googleusercontent.com/places/ANXAkqG0msqfs-8g8XrKoaDICarFjRYiV4X9x2541Vm45k6-d3mTT7Rg5M7qRAhZAwpRUbhD7xUYlgTjMl7uqlXj3DyC17d6Cc0JR6U=s1600-w400-h400
Lánchíd Söröző,4.6,https://lh3.googleusercontent.com/places/ANXAkqE0PhqbzVkdRJD4UpKiILQQQXApmQMSwtYnrlzJdVsRrNPzrdiQPkcJmAyItmI3tHVB3kK7-8L8ykZSc21ryv6L5L_LboewLZE=s1600-w400-h400
Manna Lounge,4.4,https://lh3.googleusercontent.com/places/ANXAkqGdMobWHV0R-R5_Dk7Z9fFMHg22O3nJ0FEXBAnC8xZ0E95-Y3PTz285tYgL1nwUi4X4JTcsUTxfEWfJjYqIdJfWz4iDwpK7CB0=s1600-w400-h400
Hunyadi Étterem,4.1,https://lh3.googleusercontent.com/places/ANXAkqFgucrqxvMOtYngb2ZyOezwYsuVqxtQWb8kwbZabJS-lfwjCArh80BrJuccQJdvNKuKiPlvNaHvihGsN3_BMS8XovfZpbcrgt4=s1600-w400-h400
Marvelosa Restaurant,4.5,https://lh3.googleusercontent.com/places/ANXAkqGmlIg5s1hX4ssyEZQ277DaAkpbQFBCK5RvhatP4-Xd2ybRCWrMVb_rMpdD3hRocWe43xoo3ubEThtODK_rnN9ymZ9NCyKhWUs=s1600-w400-h400
Seoul House Restaurant,4.3,https://lh3.googleusercontent.com/places/ANXAkqFbQkE7X5gjk4O4a1TnqgpQ0436UTPv7WUEoDagraoBFa0pdlkeo26Q_3B7EAbTeb-PlC4iEyDC63OcI775drAp4VB7O7pOt0Y=s1600-w400-h400
Christmas market Budapest,5,https://lh3.googleusercontent.com/places/ANXAkqEMfv92H_Rw6P7ZpKTC7CN0mZPmXPZWUvytcQq80aeuHeAOjCDBe89Az5yFXunILX3ixVmEYEJWBpRM7BxVJYObhIPS_tFOsCE=s1600-w400-h400
