Name,Rating,Photo_URL
Temple Bar Inn,4.5,https://lh3.googleusercontent.com/places/ANXAkqGw_4w3xM9RkObJIGRqzoZH2Cfo5jnxxNyRUcF82r_6JKnRPiZ9odva1VheKVpFIyAM45K-p3Ev95V87vKp2isyS11spMpY4Do=s1600-w400-h400
Academy Plaza Hotel,4.1,https://lh3.googleusercontent.com/places/ANXAkqFs-y6m-zD0-8QgpmMP53mx4Uf4yo8yoONDMSr_FFWxDhNDvTJJXeZFYfYtU8jU44h-8dI9H6oJ736D47bmj5vmJT7-d6UxR6E=s1600-w400-h400
Wynn's Hotel Dublin,4.3,https://lh3.googleusercontent.com/places/ANXAkqH3GroZPzkFdZ8JTIjRjMlQWp-BJWweE-Lb2AK55BwdCFj76qaT1CYagOLHcLBR1ZQpMvmo3iLOgq4g_pB_60Y4WOwezUnFbBA=s1600-w400-h400
Cassidys Hotel,4.2,https://lh3.googleusercontent.com/places/ANXAkqE166IVAZgxkPInF7jQt9v8IpRn-vvS8J1-U8PE9bcGUnBZV0XNu6wqhGQcI9YsjFkAZvPY2oS0sSWQSsGssgzJrPvGhz0YBSg=s1600-w400-h400
The Fleet Hotel Temple Bar,4.3,https://lh3.googleusercontent.com/places/ANXAkqHFuEZEngPeqcXQaDJJhy0-S0NEZBavWCx2OWjIIPZH_0zh2KC4MR38HAFytklxN2wUx4JkM7etJO0xN6Fuw4q8bsKYW3Z5guI=s1600-w400-h400
Wigwam,4.2,https://lh3.googleusercontent.com/places/ANXAkqGqp_MbeK_r6dnP4_6gspBOPViQocFxEC3Z4KjGLI54q1SOtjxnMxvBiVt2CmzOfbw-GfQsmjM0aQXCzx1xApo1UcTQqBIsuA=s1600-w400-h400
Abbey Hotel,3.6,https://lh3.googleusercontent.com/places/ANXAkqHwXqRxlBdV-zAmnXc26yozdCpfPuX2PhqFsQ4Lz2OL-sk0jnksqW7Q8PFjlpTD5PU4DU-wGNrwHh-KCJ62Ihwi0AHjOgx6lg8=s1600-w400-h400
The Church Café Bar,4.4,https://lh3.googleusercontent.com/places/ANXAkqHEZJ0nqEdwkgVwoPoT9BJu5xytDu6qtX8gG6HxAxiqxeRptb06gJ53BjAvYZySB19TL1vm6yT8xZBYWUIYs-gqLrzYAMXOXfg=s1600-w400-h400
101 Talbot,4.4,https://lh3.googleusercontent.com/places/ANXAkqEwLB5-mkrpTUtMm1oInaXUf2m-bFOOLzVtIrMzWyFFUNwi9xnveVlzVsC8kUTIXQdLjF2qNYZ7XW5rgfS3YmmWvK0312eZMk8=s1600-w400-h400
The Palace Bar,4.6,https://lh3.googleusercontent.com/places/ANXAkqGsdnbeDwxI-QlN7-2K8UzVcVXs3Zjcp-5QPpBFP1ym_cJ1_OvEpTXd2QzKkwkso-UjhVUPaVBUSNPwyDufFFGz78kGaYT7z9s=s1600-w400-h400
The Winding Stair,4.4,https://lh3.googleusercontent.com/places/ANXAkqHh1Jp1NntHDNKVb2PX7mGomUItZtomrClukv5K7bsWDmWOjH5YfsmI_FTei_m-u9wPXKcrkqlWekGPuDLzdWEFbH3w2QjCcRA=s1600-w400-h400
Yamamori North City,4.5,https://lh3.googleusercontent.com/places/ANXAkqFe-kJ5dwZ1FcKenX4iqkSWdiiq-fBrtsHdaCyHHqNULDPoBgdzQtslVVd-AZhC1eSeGuRoAUcvwEVRU6COr4E8eJO2I1uXg5o=s1600-w400-h400
Hard Rock Cafe,4.2,https://lh3.googleusercontent.com/places/ANXAkqGaH7OXDGQ6EeFQEvLpSMtUU2oi7RWJVll_kBhyn16Xg85dVKIZiC6HfUjsrHvGxv2JUYeYKZnb7WadtW1w4maV0vAkh0ltU-0=s1600-w400-h400
M&L Szechuan Chinese,4.3,https://lh3.googleusercontent.com/places/ANXAkqH0msOswSxTdwSKL4HVAZVSCNd0eRc7sdCfTXVl_VyzgYeDyooHMkcAHOfSjrfU_utCvOXdy2h81dz1TLUJK3Dieg5-EC6dmBA=s1600-w400-h400
McDonald's,3.7,https://lh3.googleusercontent.com/places/ANXAkqEbfgAwvGkt2BWrt2x59fZqnuUJ_cPDyWGQwmHVmaE0ODJ3HU6VsJvqnCOuugnVOQ4iBONpWX2hvP0_cUNmrwvgX0mQWRV30zQ=s1600-w400-h400
Eddie Rocket's,4.1,https://lh3.googleusercontent.com/places/ANXAkqHarqheHz2vO_POP9oeRL7PTLz8lufBHYPtin460PWgMWjwjvGjofN2ogMZtFrAhYnO4bJGLirvCBAHW2EAZIn9FKvsnenczMw=s1600-w400-h400
Flanagan's Bar & Restaurant,4.1,https://lh3.googleusercontent.com/places/ANXAkqHaWUw0SxMe3vEC7pL4GgA9ezPZ1PVB_gKiutE5k_QSO9lF42NatXZ83tQp-IjM4lUIWf2Eg6lpL8wq9jn2igGyAZFyePHH82E=s1600-w400-h260
Gallaghers Boxty House,4.4,https://lh3.googleusercontent.com/places/ANXAkqFXZnhKqJnyPVFGtQhc6ynBmzh-YVxkOQz6oGXbi0CBXHe7jPljNrX6VGOPzV7fB8tAvbxxP_qYcEx8beaSZ9ANfLniAytjGSk=s1600-w400-h400
Banyi Japanese Dining,4.4,https://lh3.googleusercontent.com/places/ANXAkqFxYPcHZSagj2gA6r6ciOj9llkZ011Ap6fcib5M_jYoTmwpcQyx-z9x9-ZMZ46aNk88mho6EqsZIEAO5Rqj5vxbl4vpBk3rtBM=s1600-w400-h400
Elephant & Castle,4.3,https://lh3.googleusercontent.com/places/ANXAkqFNpcalQIwBEVXgmFjVWb-H7-8xJ_dSiqWfHwXztEXlpy4vfDAKOpGqHP8VKOPLB_fvRZVNk8znZgGDgm6ASK27H5ms_c_N3ac=s1600-w400-h400
