Name,Rating,Photo_URL
Hotel Lungarno,4.6,https://lh3.googleusercontent.com/places/ANXAkqG9YIT7Dr6ucn_XQY6vPWMdYJMSvqSTWfVRXTnrDpN8_WpIq33jPsPfaBcFLgopAyDUf9FfY8qVkIfnRds_ug-7NWr1R_E_yIs=s1600-w400-h400
IL Tornabuoni Hotel - In the Unbound Collection by Hyatt,4.3,https://lh3.googleusercontent.com/places/ANXAkqGJhr4GznMSTKKUoLzZerKTGRjn2as_XqE8mf5dxi_ytFsB03ZA-WU9hE7Ndk-rwD0fJ2myV6n4_nbKX2RQU7v4frJaAhrwiY0=s1600-w400-h400
Hotel Brunelleschi,4.7,https://lh3.googleusercontent.com/places/ANXAkqE4Zj5NHM919-VUiSI32naHH1PTJNCzJLPMFxcAeBMX0k9rc6Whom9VPj15h1sRAYYj1aRF7jzEy8ZIkU6B1zIFt_F1460he_M=s1600-w400-h400
Gallery Hotel Art,4.5,https://lh3.googleusercontent.com/places/ANXAkqFY5YFdIZ-Adeerhnm0cvoQAT0hzwF9cXpERM5CJ0sGrUhv_bz7p5GBsQvx0FYFzgL-sNYOgdvAfXOC7PV1e_jHBdtJv0DLmg=s1600-w400-h400
Caffè Gilli,3.9,https://lh3.googleusercontent.com/places/ANXAkqE2e6d731Eibh3hjXVHfJkTdSqbpeE1VyN0fHiGyX4I2mKVZspXTKlFfa0xf3FUkq1InRZKhDXxlx1-kU3WtO-rCfH0GBtxbeY=s1600-w400-h400
Helvetia & Bristol Firenze - Starhotels Collezione,4.7,https://lh3.googleusercontent.com/places/ANXAkqGjkvdl4soWyDneOmUh6fVo_4rXuGLSeOFj_Heq8ylTVvL8Z_8de5Ev4tsLsUQWd7muYDXMQ6lFLFBRw4iEGtjDF9U7XDuhO10=s1600-w400-h400
Portrait Firenze,4.8,https://lh3.googleusercontent.com/places/ANXAkqG-j03FkKiszZrIDuikl2YAe_uGG_YpCU6H_PARRemM0EnVgTYzed7eN82OX6qNKjQXaoZdmLJ0r9dCftW_oMAHzZVmKNkFzec=s1600-w400-h400
Hotel La Scaletta Florence,4.3,https://lh3.googleusercontent.com/places/ANXAkqH2IMfMmGoCdrVc3vuQmhvzzkQrGCff5i-jZik26ol_ZdvMsqsYCX8bUDVo2dd857SgVPSxG1p3sOr2K9_ueZ8AMXyp3cvvA7g=s1600-w400-h400
Trattoria Ponte Vecchio,4.3,https://lh3.googleusercontent.com/places/ANXAkqFo4BOrHFBsYfo225FmPCCFvL3xFsk_soXpPVmm7wVQBQ5LJrA5Vjv2hbN3cgBj4SEnYH1brLJavL7-ohZWfqfVVOnog_T7IJk=s1600-w400-h400
Yab,3.5,https://lh3.googleusercontent.com/places/ANXAkqH_UnahoP3aVZ8AeavS0sFzDO9YUiCasWbs-Cev90Fgn-lAaq5qWR3gBYBYfjofr9m996tE5rmFPEfa63pkJD1ROa2AGjIkddA=s1600-w400-h400
