Name,Rating,Photo_URL
PSI,4.5,https://lh3.googleusercontent.com/places/ANXAkqHUMoVeUE5Li0HDTFb-XgW-g3NqJb2V4Fbm8Tf2uQYujsAyppCjkpRU03xGDZ428-KXqINRNitmO6VipuGmxs-qBvV9hMYFKAo=s1600-w400-h400
Largo Residências,4.3,https://lh3.googleusercontent.com/places/ANXAkqH3ZGcIwuh7UjcvwFyNSr4_1jm4_CBeOo2lHH8hehBwoeSlQFlq8I6nJT-zoKdklFXtK6zE4mWhbTYQ9KgAPd7q7-pF6ZExfVA=s1600-w400-h400
Cervejaria Ramiro,4.4,https://lh3.googleusercontent.com/places/ANXAkqHpNLzAnxyThDXySUSM9W1e6Fz8qCV1kh_Hp-UWthAQkDQHlFJ3RBMYYyLtMyH_8seFsp9GjNH9NarxAWDs8n7seNJOMjwHf8s=s1600-w400-h400
Coutada,4.6,https://lh3.googleusercontent.com/places/ANXAkqHCbyzV8jJu6ErSdshFKd3HxX6WemfMuuxFJjeqh5UHODoq5858phki8kzdfQdoCfThv6dHST592qQvaseo57Y02aw_6kDrdOY=s1600-w400-h400
Mú - Gelato & Caffè,4.6,https://lh3.googleusercontent.com/places/ANXAkqHOk1L2yCEghjDwOIsKX1iHjwjvUEzU8hYWfm6svuyTO9Tztd2eEASZjra32zMPrcFfCJ0pl1e7P6uJiwet-KUG0lDi3novlTg=s1600-w400-h400
Grill N Chill INTENDENTE,4.4,https://lh3.googleusercontent.com/places/ANXAkqGb72HgR9B5hN1rO6yNbZtagX2H8tKM5owMd-SDGa0ZODq5cKJ6Cvqki8-pTwGAo4Eex1QE82wQAUMclQj7jjmmlNquZRAyWAA=s1600-w400-h400
A Venda Lusitana,4.6,https://lh3.googleusercontent.com/places/ANXAkqE5hpuNVU6uuHYEluH-_9BOFa-SlVonU3WtFmz_DOfO3ATcxPa83qxg-PIGdfcWw904jnvG_KfhovE0HzHDS4x4EjQzdLgxsbQ=s1600-w400-h400
HALALCOUNTER,4.6,https://lh3.googleusercontent.com/places/ANXAkqEum0Oh_z9Q2IAreDbnTBGCriCnuK9XIqMD4Fs5DQpaST9HwMkJcZRzi0HI4TwlS_0rMquo5sv9OYLUC28lLpnZydUoGPp-ouU=s1600-w400-h400
Cova Funda Intendente,4.5,https://lh3.googleusercontent.com/places/ANXAkqGigDTqPD-GK6F8VZusdjDkwBLbzUrqalwNUHfAy8ofIQW5Vr8kRlMuY1_WMQggmyAuWTCKATe9qpxYZotsB6MJ0M1KloQVCzQ=s1600-w400-h400
Olá Kathmandu,4.4,https://lh3.googleusercontent.com/places/ANXAkqEQllDeQ5v1I5hh3PuUsPFV3RYgKz-1C0ecj1skhI5yhvrKXllvPPor5Ob1H1A2Vc_JO4FFCubjY3_IjF8YrtGerOYqcOaAhWY=s1600-w400-h400
