Name,Rating,Photo_URL
"The Clermont London, Charing Cross",4.5,https://lh3.googleusercontent.com/places/ANXAkqFjZysRrgcU9btQ-GHa8dTT09YgOpiL1xkmAiJVMMsTtVfiZfuDZ6TmWy62NwkQGggJYgs32MfHFh61MnRdWEmDnPqyQUAOjvs=s1600-w400-h400
"The Royal Horseguards Hotel & One Whitehall Place, London",4.4,https://lh3.googleusercontent.com/places/ANXAkqH8_tWNWy50EDBRCSX5mKV9w8QytvEzt4TlRzo-zOEv0O2-iUaGh-ndJ0VcZI3gGHdNrfWrUqR3ucCKjOz2WGbFLP6kO5ey13s=s1600-w400-h400
Premier Inn London Leicester Square hotel,4.1,https://lh3.googleusercontent.com/places/ANXAkqHWw5r76u5WK30Gfve3B5AMGfaOCu2K9qRo34GejdYPvyzAs56E6oqYtgwR71DBBH6FxZkLZa9iKMBsluHNLrXx5kws9Ay8jE4=s1600-w400-h400
Sofitel London St James,4.6,https://lh3.googleusercontent.com/places/ANXAkqFW7-AohyL8Sam9tFYHkMJBXn1a---9mbgdoZqKq1UalszbHa7xt0kw5KG4AGKOxjgBNiEOgxuK_RSs2I2da10npuo0JeC0Wq4=s1600-w400-h400
Boyds Grill & Wine Bar,4.2,https://lh3.googleusercontent.com/places/ANXAkqFqRqmYFvLrmqnWsfidrdUEw03-PxubhTuGR7ne70WP8jroaIXMAY-cf6kCitZquz0aHRZJAUFrKoQ9f-6k2wnWZ3vmD-zJf1E=s1600-w400-h400
The Salisbury Pub,4.3,https://lh3.googleusercontent.com/places/ANXAkqHY2iYo3utdvUqZUeqA8mhNfJNwxteH5EPCme4BVnO1tE_a1IWZd4YvryDvg1FpYdbACOxiJhIcMBOyn8UyEeuP35r2Hr54QHQ=s1600-w400-h400
Thistle London Trafalgar Square,4.0,https://lh3.googleusercontent.com/places/ANXAkqG5NAtuvbXxaonyXb4JdXg6e2iv192daiizozXF0wYfrHvdHe3SiVRfss3jkYLzH0MGvtt1LjsNIgYvqflKZl-KvzWm32KaMPo=s1600-w400-h400
Silver Cross,4.1,https://lh3.googleusercontent.com/places/ANXAkqFn4xwie0KzNG41KtMh3-1bBkvCRsOi1AV6GiObwW7oypBZ_b1EnTxSqjsvdEbqHUJZLsV_sG1nugx3ZMe8FmPRpLxv7dBr6G4=s1600-w400-h400
Sherlock Holmes,4.2,https://lh3.googleusercontent.com/places/ANXAkqFdjVJpLZFM7xmSpc-gWdVahaRKxNdFWbQoT66FERrN_pjpuT1VkIc9JtVXefjYWAFgKdcLJkZJQU4_FijhN8Wezfv6Qa96nTE=s1600-w400-h400
Wahaca Covent Garden,4.3,https://lh3.googleusercontent.com/places/ANXAkqGrM9f4be1l3RRourjf7CqYTmqnNn2hVcNI88DUSh5lQvz3yz4UQBXdFtmpQGS5bxS0LnJsORGoXR6nuCzu8HDMeQ_P21FCIJk=s1600-w400-h400
The Porterhouse,4.4,https://lh3.googleusercontent.com/places/ANXAkqE_YUMRK8YeW3OYFkJbMZ-n-riR3Gaif99YuyNdBCDZ1QkTR24f6LN_D5NDqM2nBR65H1ipxH8HgEHqKPGBH3G3_o1p9W7cQEU=s1600-w400-h400
"The Harp, Covent Garden",4.6,https://lh3.googleusercontent.com/places/ANXAkqGAJAclWBsWCRTsV_fbRQKM6zbO9NmiO3fnaluofHHBogSP_CAnF407gbFeYBQcI97P6PVv7SurH2xpR9t60iPea2gtID10fZU=s1600-w400-h400
The Ship & Shovell,4.4,https://lh3.googleusercontent.com/places/ANXAkqEt3wZVV0yY6D98jGXYyRyfpHjm0SpKETfGE1xsIMYFwebST4aSQcqPwja0xEQbXVCs0V-FXgbE7Z2HqJueX-FSVptdbJeCY5M=s1600-w400-h400
The Lemon Tree,4.3,https://lh3.googleusercontent.com/places/ANXAkqG0jU2EI0wOBv6-U2079XRxMwVEIWFoFvcxkgsEIkfOQzh8tFOPM21h8oxvDzwHXNgMJuNhINZNwLp_f0fpD5GsrFzrMd_2XhE=s1600-w400-h400
The Northall,4.6,https://lh3.googleusercontent.com/places/ANXAkqHrL948SPBuhBCq8ee1i4iYDunxDQ6XGrS7xxf0BlFMgO97rdQoJFKBzoESVRJ5O7gO1r4TDbsmdkbvrhvZDVppu3QHZF5mWdE=s1600-w400-h400
Tattershall Castle,4.3,https://lh3.googleusercontent.com/places/ANXAkqEOoVYH56CY2Cn_gSTs1vFRvzAZk67CK2fYeHdhtZTe0gLfH86pl-L9Xjib3uD4J-ud8gfZZ8Ep07-83QJmhzF5zA9fS_UxRzg=s1600-w400-h400
Côte St Martin's Lane,4.3,https://lh3.googleusercontent.com/places/ANXAkqFoHpFxassW1J9gwJ6hm_Bg8EnNUaQsbc8pvLzln0j-LtRzpLSEziMdFEW6cq7wFRmd8Gq7xP-9VzC43UZ155rEyt3tEdtAi3c=s1600-w400-h400
Nando's Covent Garden,4.3,https://lh3.googleusercontent.com/places/ANXAkqGHhsFc36pxldZEmkVIREE4Tu7AxWD8GzKZRiw_LGRBAU_Lz6K47XRlgjbrX0PVYBXQW5GdsN7vlko1mIm0f3gpLkldkB6zOKE=s1600-w400-h400
