Name,Rating,Photo_URL
Intelier Palacio San Martín,4.4,https://lh3.googleusercontent.com/places/ANXAkqEa7hk8sTUGGsF-QUTRzg5d3KNoMaCC2xSIlqZeLLdoz17qV9y4Vk3Vr-p7xA2uSaKfUbDlNJ4tgzxwDJMuQAbSW7NZOBge2_Q=s1600-w400-h400
Petit Palace Chueca,4.4,https://lh3.googleusercontent.com/places/ANXAkqF4HSOyv_M10yt-HUftruGroF6ivLR6ULf7GowT1wku6Q0c1JyIFojSFIO-4_382wf37UkTSj5SGu3qf3SwdORE5YOLI-jdX4Y=s1600-w400-h400
RIBS ABADA,4.6,https://lh3.googleusercontent.com/places/ANXAkqG_g74Wk1QBX58gfaOrw8osHWq7zB76RAuuTQQnbPrebAjfa2yhxqt5Tb4pHspmqnYImUcfBQod2Hc0wivWZlLGGU-13jvtYF0=s1600-w400-h400
Restaurante Ginger,4.1,https://lh3.googleusercontent.com/places/ANXAkqFoT4cf7jdY4FTdDfDR5PoUbXylSAx7M4hFhriWviZeXdcQG3UBIauT61jUBYN1Un_ofPL7U12SuNQGftC1FPFtionk7HsGj6E=s1600-w400-h400
La Finca de Susana,4.0,https://lh3.googleusercontent.com/places/ANXAkqEpT9tCH9Uz_7rg859psFlNixNgFR4dzmxgajPJXKxDJM2bliyboLyWuHD87_Fzr4K5woIfVlpdal7x94ZMOn2LDjuZdvjawOE=s1600-w400-h400
La Negra Tomasa,4.2,https://lh3.googleusercontent.com/places/ANXAkqHY9nWd1K-au0nhmc4lDq_rhqZujUE8hYpqFIXoDRrWqRXGye39O3ePWI-J_QWFJtrN7pdcwIYbXXOgSh0a9geHNVmQEHmwamA=s1600-w400-h400
Lamucca de Prado,4.2,https://lh3.googleusercontent.com/places/ANXAkqGEJngBy0iKmWJ1AATfzADBL5ICYzs2x9rJz2_dLf3A8s2SUQ8BpeP6LtRQYFeitWQ6Q5z7jh39Pof9db7qwIxcnOsGfd61ZUw=s1600-w400-h400
Venganza Malinche. Restaurante Mexicano,4.2,https://lh3.googleusercontent.com/places/ANXAkqHFMA-w8CLBig6WNOmaCDPDv2Gup103H5HDZVYVHtw4nP_2PF7S1-yET7UuaOT6kfVyuKJfBUdAEGsnGUxNIe7zlJwgQVE_gJ0=s1600-w400-h400
Taberna de La Daniela - Cuchilleros,4.0,https://lh3.googleusercontent.com/places/ANXAkqGbUd3vPQd_8U1y4RdA1IQYZyeaHDaqA6RWlEZuATdCjKEJorhzLu7XvTn8CVcx7ToB0wsUnUjQ-QbSmn40ba0yttMvijAAJiY=s1600-w400-h400
Casa Labra,4.4,https://lh3.googleusercontent.com/places/ANXAkqGyMKQodHBwvO9bYJhiKkJgvBMcqGt11NuhPmSazDdBBnHtj-bRJriVyhPLAeBa5DveHtbBkLZM3iMk905Pev4DnJx3_rDExi0=s1600-w400-h400
HOTEL ASTURIAS,2.7,https://lh3.googleusercontent.com/places/ANXAkqHKf68BKR_zoRqyh93AdPeG8EQUEfj13ohRluVq4ZrjIfKPxkFFo67T9X9CAUPaVN3ueAARgHQvmL4KKzpKwA6RlegEdUDaejk=s1600-w400-h400
Restaurante Los Galayos,4.1,https://lh3.googleusercontent.com/places/ANXAkqG3UoDv-mxYVhx41rmG22I08YQhK_qwFt5kPcd1_WlWKMDvkEgtS-dtSB1L2M9_EiTNICdCeGuADl9YFIRB5eGnmPnLnTXpmWU=s1600-w400-h400
