Name,Rating,Photo_URL
Hotel Milano Scala,4.4,https://lh3.googleusercontent.com/places/ANXAkqEEeGgiO-WGJAX0O5fizos1LfNZNZsvnFlrbpz1liey1KK0ELEDQ5rddQmQUA95ocm9tJ4H7Hzfkcsbq9jWjHSr9f6m0aUrJpo=s1600-w400-h400
UNAHOTELS Cusani Milano,4.3,https://lh3.googleusercontent.com/places/ANXAkqF6aD612SB4M-7Ahsq12UAMgOqVb0x1zVsBSu5athUP4U275v7aaNP066ZjGCSwSlpj2_bQo49cSP1MImVWQ5ki0oQKCCI3ZqA=s1600-w400-h400
Ristorante Papà Francesco,3.9,https://lh3.googleusercontent.com/places/ANXAkqEgCAN8--pPUqmc1FImhgbGiKr2IDHVFjT9XVqdQ7vthREpWGjHAj_Fm7lQwhTP7Idd2jnpTi50MvryPQcMf2jLWg2m1Dtc7YM=s1600-w400-h400
Peck,4.4,https://lh3.googleusercontent.com/places/ANXAkqFKWvHK9O54S6pbHGx9MwW9-7om86OVC27GOKD8J7WvHv-dX6rwuY09-VuUh4aW8Wa0hsc1Lqpaht7qfQ8JU5FQ9y1eVAMoago=s1600-w400-h400
Al Mercante Restaurant,4.2,https://lh3.googleusercontent.com/places/ANXAkqHSGwBBZmCTESq4PLi7vlgEbGx9Au51DD0SC_oWFHrtGqGG0jpH5wKTLCL8mNFnhRSUrx5Z6pwX7fw9UnZG2NEUJJV0LUpChF8=s1600-w400-h400
Trattoria Milanese,4.2,https://lh3.googleusercontent.com/places/ANXAkqGAZAScTO_USzqzWLVdRMVuu8W9oKCmSGmsM80oZcUmTC65LSeE8O1TnvTLDAZv-AFdlVl-obvsSAevew03HXbfJNnctqEfU10=s1600-w400-h400
Il Ristorante Trussardi alla Scala,4.2,https://lh3.googleusercontent.com/places/ANXAkqFvvM0M4tDoDy85zAMO0sfIAHtKIi-xadaR0XW3zETKXqhIJ301jNEBGLMcJLOFoekJ_DSEUdQId6wrZ9jHPL7iQjoKxDNgvVU=s1600-w400-h400
Ristorante Galleria,4.5,https://lh3.googleusercontent.com/places/ANXAkqE4GFYZYlFV-xurtCqq5Gt5ok4KCRLIS0uDShSyDF9t9y8vqvLqBq56pkmNBWI0Ebrf4w806eJTGSfyAsY8YLml-sj3pyVcVqk=s1600-w400-h400
Hostaria Borromei,4.2,https://lh3.googleusercontent.com/places/ANXAkqHJphKCwPRoKDJWh-Lsg6xIuQ0kpLBn6WVzJEJQqNlgq8Ad1nna9IusqNtL7ttYehKYrU7Fq4dSjMn4rajLfTW74jh1HfSaeEk=s1600-w400-h400
Di Gennaro,3.9,https://lh3.googleusercontent.com/places/ANXAkqG4QOLpwwii-JGuRAUbjhZagBfGhX_dmDie61z1ql0KsEZOhCiiSpEitIZM6lEvbBAgeqG05gaF2_IsSj_CWKahkKWOdEO6skw=s1600-w400-h400
Andry,4.4,https://lh3.googleusercontent.com/places/ANXAkqGN18VTi2u2I7hRiUdOHzFd9TBx_YOzsmHCFja3n57IyBA-yf_QSYByIFe5Rc1V-NPZidSrmH0nyfaQ3TQAaEJGNDDhWCfWWis=s1600-w400-h400
McDonald's Milano Duomo,3.8,https://lh3.googleusercontent.com/places/ANXAkqFQAZF1LMdON6ZAyJHRpST21Y4vwtO5cI-REw7QL6IkgPUpPir3bbcnBlqcAQv_qt7PPGvE3opmqGJVusO4M43yFv5pSsu_4og=s1600-w400-h400
Ristorante Savini,3.8,https://lh3.googleusercontent.com/places/ANXAkqFjcoKRqOP9MOYYJsziGXO604oW_Sfp7ccIBqgdxVU2Yr6fv2oHgcVqct_kQgD0RP69dCA6OlDowMiEQhQMzqtGz5fsoX8PxyA=s1600-w400-h400
Cioccolatitaliani,3.9,https://lh3.googleusercontent.com/places/ANXAkqHqrdvhIhsBv4nOomLd9XQmIzT1lxtnKYtaki3PMVG5BydZxf81ITr22rgh4F8JQIuMsPSZjOQHhIdRNmyqfyTCPY3haDlkGlo=s1600-w400-h393
Hana,4.1,https://lh3.googleusercontent.com/places/ANXAkqFCVbrTNy3lYI4q1D0GqD2uoplG0syX0nAb0321rVDsNpV9rOX4U6X38eyLMZYf1ENjurGipmF8E8W6o52d-tbpzoQEFeMKHNU=s1600-w400-h400
Meucci,4.2,https://lh3.googleusercontent.com/places/ANXAkqGPEuvqDr_oMhlaBHWPoWVl7KpWtA-q-Cs94P4APFiP8Npl3_mqMzocM2DGekVkEEQOmnfhkj80ZnnPgL5fJ-ZqjKJnj9AeqyQ=s1600-w400-h400
