Name,Rating,Photo_URL
Hotel Am Markt,4.3,https://lh3.googleusercontent.com/places/ANXAkqG1oLU-saH5uSyxxppL0toYa3BDWt3SaLYsADP573YrAg05UowaDa5gCe2aCNbjqNRUd-DjLXNabof53er3ZbyVNkKj3l1sHHs=s1600-w400-h400
Hotel Lux,4.4,https://lh3.googleusercontent.com/places/ANXAkqEWvdc2GLFBY8krWoJ9K-RJzJmSkUfsY2QIqrOW3VPwBZQ2epAga0AB6fF1dVA7atxwyyK44YPsYo_BewQpTJBhDS1qUCjm7cg=s1600-w400-h400
Hotel Torbräu,4.5,https://lh3.googleusercontent.com/places/ANXAkqERshZ1_PJ7eaVTfbAuTJntwS6PPCt5BkNM_YkygXqCgwhXsLvkPD459CfaK8VUvG7rbsCoiY-cYD3244_f4Zx3ag-yOKY7_TY=s1600-w400-h400
LOUIS Hotel,4.5,https://lh3.googleusercontent.com/places/ANXAkqHhwrDuWaK89zgffeelroSIokyCBWmGhEMGC2NGPxtkzGrVVCcMVUiVF5iOviD81W11HI_I9IVQedj-653MFt98LjBlf7c_hEs=s1600-w400-h400
Hofbräuhaus München,4.2,https://lh3.googleusercontent.com/places/ANXAkqH7XNvKGpg-wRVjvOTpKvB4W3pEeNSa9KcHVd608njfQuy6NszGODwqDSaHLH-5lp_SGZ6nrgCmZIEGhyQ1r5Awi0WzedRfUxA=s1600-w400-h400
Hotel Deutsche Eiche,4.5,https://lh3.googleusercontent.com/places/ANXAkqH5U2gZnWBjww0j9WjbiNRgjVeRH_RJ4wUoD6bTPfV4X-oF6fdhRcOcJjWAGOAjftkdZZtVewuS4gd0zIV0cK6qaxRcp_xC1Jk=s1600-w400-h400
Le Stollberg,4.8,https://lh3.googleusercontent.com/places/ANXAkqFFLX6awg0wcNKRHQZ9FLrd71DZj-ABH7PdHHyeEnBdjFLWkZ5zuhTVtzwIRHcGNOGyh8xT05UHP9gRw3ZbF8aq5Q3NpRh_gow=s1600-w400-h400
Weisses Bräuhaus im Tal,4.4,https://lh3.googleusercontent.com/places/ANXAkqF2WlpecQWr8fYLJ8w3qWfbAVgYp4lmBVp7h_EZ0M12ulwFmPkup5FSUQsV-Dkur3csnjUhw978ezH6QTZAx_gjq-0c6Hcn2DI=s1600-w400-h400
Augustiner am Platzl,4.3,https://lh3.googleusercontent.com/places/ANXAkqHjIyu34uEmq0gtZpgiFPjZw6iZMycbi3Go9UhD-oD7X_nSUGuYfuGPVtec0eFBep8BIU8LL2TYE84fetm81ZkodqZky06DcfA=s1600-w400-h400
Haxnbauer,4.3,https://lh3.googleusercontent.com/places/ANXAkqFwHb2N5JNV2mejqJ4g9wbn6XHzzDs1exQaVMCGQN1VuV2RTzKpWY2nvOOErY8a0_RDy5WfeBvLmsX7o7a6jLDBq0iXu3lGy20=s1600-w400-h400
Restaurant Pfistermühle,4.5,https://lh3.googleusercontent.com/places/ANXAkqHsf5V5ababNQKSA0o8Z0Qw0LiE6aiMILkNLXnwIGB2HcMOTh2qCwa-cm8DlNbVT3svGpsZa-y9ctcty5KJq_k-vQ4ki3BWiSA=s1600-w400-h400
Hard Rock Cafe,4.3,https://lh3.googleusercontent.com/places/ANXAkqFm3Pm172p27B3zGBIb-4HYcc3qE_zkig6uHOxvGE2Cpwe38E8ybpgKNBCZNYpWHtw9nh2lCoINsj-aJoW99ZOkP5mmYW67TVA=s1600-w400-h400
Sausalitos,3.9,https://lh3.googleusercontent.com/places/ANXAkqF-qsE1Ggk_77O8X1ToMyJc95PCvue9GGZKgG2EdsSXIsvoSPyuismb0hyGURPJErSDDLnWbSStLw71tVgKesdDJ4G2-3OTDHg=s1600-w400-h400
Brenner Restaurant,4.2,https://lh3.googleusercontent.com/places/ANXAkqEb2n-U-XxD2CxRiqHZAyCxZLM8HIPFOk1GmInlHwk50ZXErcCISOaywQdcWm15wh0HsrHVpkxunK9uG8PO32JAiEHm-u3fQkE=s1600-w400-h400
Restaurant Beccofino,4.2,https://lh3.googleusercontent.com/places/ANXAkqG_-fhLQBerKOy9Y4CTyGqgpJC1nQp0Vzh_M28mHtI9C3c4nXp6t1lMo7EMQISM6oePQt-yqF-gSg1jz9Druuk3phESVGUy9qY=s1600-w400-h400
The Victorian House,4.2,https://lh3.googleusercontent.com/places/ANXAkqFMqIb2J9OIxu5lL_A38yhNCqi-Z7I-7ucJHcWHb3yYDG49GfHfehMa4_XdknoQjFS5h1_ECz0m3dWE6BH_svFw539g-rYvUM4=s1600-w400-h400
Wirtshaus im Braunauer Hof am Isartor,4.4,https://lh3.googleusercontent.com/places/ANXAkqGWk_2mR1pqwJecKbGbLGand5um1QWGhEtsOeUNL7Bw93uS2OwwBXmlacziy11L-3a_E4a--dHLSJNtmW7k5IAuFhaSHP2R5Kg=s1600-w400-h400
Gasthaus Isarthor,4.4,https://lh3.googleusercontent.com/places/ANXAkqFHzekE7Z2SnJCNyTrdjmw3JE7RwJCRdF_SXAgHP1pUALzlWpJCwPIeVeB37VZkSUaWv9QG6C_41OncJ2clxQh_BGH7emWaxEI=s1600-w400-h400
Bar Centrale,4.5,https://lh3.googleusercontent.com/places/ANXAkqFAv952vHilpTFSNamShfJHADGLCxe1hsPieo0UKaRL473t1L4oezl3-5nOmJXv6-mIuAmzhloW7vVpXlGEx6z-RvSDWN3lY30=s1600-w400-h400
buffet Kull bar,4.5,https://lh3.googleusercontent.com/places/ANXAkqFZibDiOgVtKYt3aoHcZTg-KKutEwdpTEP_0HooyLFcQAfGV9kDvi_SsAoH0-Q-sgoml7XzpsBVqAqs1bDtv47lR1q7gFFgVII=s1600-w400-h400
