Name,Rating,Photo_URL
Benoit Paris,4.2,https://lh3.googleusercontent.com/places/ANXAkqF-UG1ZUBCGhx1Vv_2k6nxgKaF4mlu5xCElqu1G_tXscCJFRqf1v5gPmekKWUvB7rd10DU2KsWTcXTK5yY6vrH8EBRUt0kVft8=s1600-w400-h400
Compose - Hôtel de Ville,4.2,https://lh3.googleusercontent.com/places/ANXAkqGnWozyYc_UjlHRt3xCAdxCoMmSK24a_UziWL7wWSKWSufz1yRepd8OemTh1quMHAmqAgL245rLchq_3dBPLlkbg_9HIoWiSrM=s1600-w400-h400
Georges,3.9,https://lh3.googleusercontent.com/places/ANXAkqEdT0MuP6-rC5FtlBqXHMF0pBLTq1cYoX3sWnONn4gWcNkhBOH2vaSAwFugB3E8y2MPWy-AP084My_LDW5lhM0KntwVAviBlGA=s1600-w400-h400
Au Vieux Paris d'Arcole,3.9,https://lh3.googleusercontent.com/places/ANXAkqHBeTBETEwXWro9HDdPUaw16u0J3svXW8E_o2QC8SFvnAnEQh9JpBvP5ICfbl_zLoMFzkLu6gu-BJ0AszlfnLr7W6kPfnFVMgA=s1600-w400-h400
Crêperie Beaubourg,4.2,https://lh3.googleusercontent.com/places/ANXAkqH3OUThHI5jnEc7qBuzGSa4u8JJtOiTieddb8zeTLKOy-slP3j0WTGKFVObsOZfV2PKUtibQ6wojnYFSLsJ3adIdmE1UzkKxTI=s1600-w400-h400
Jaja,4.4,https://lh3.googleusercontent.com/places/ANXAkqHEAs93zK7LCI_9ecxOigLv8tjRJufQi9Y6I7I1H1R0IzDHd91dIUnQbU-mHlBsXUZrxQb4tqnl8Wb5zATu-XnRKo69aQIvOnk=s1600-w400-h400
Le Black Dog,4.4,https://lh3.googleusercontent.com/places/ANXAkqE_R0NoVSu3YSIw0bXTgKYcNUQkXaVZ0ImQ8IAlR3PxqOCK0oQM_fAUFwYMKSJj1JFMQ1I6lDNf_u-ulWALMCh4vgCdJ3NZ1us=s1600-w400-h400
Le Zimmer,4.1,https://lh3.googleusercontent.com/places/ANXAkqGQFoF62n5veLJBv-kpN1V8OR1STxJRzAH5bXOekkx256wgLiLASm2pjntTxe-oe08PklYpzro69XP55oFEBtUXovzdFb8M8HQ=s1600-w400-h400
Les Piétons,4.4,https://lh3.googleusercontent.com/places/ANXAkqGyHX1cGBs5bFqdiZhbW7To5O0DKS9TvwqFGvZvCDN7h87KKttspy9_4nUNbyJJyVA8HFfqJ-xBwl8mi05FUR2rt22STz2i7mA=s1600-w400-h400
Café Beaubourg,3.9,https://lh3.googleusercontent.com/places/ANXAkqEp8nC8HZuMHcQGp3ko-MSV8NtVwNWXqk3B9q92wMAMCICkMXXZ1woVFD88g-yNf0rjileLOPZlfUMskQJ91m85gVISIEAK4qk=s1600-w400-h400
Le Pain Quotidien Marais,4.2,https://lh3.googleusercontent.com/places/ANXAkqEQk5tv0nrza_DNFAvxEL2Lrm5DYB1S4HVBGOFwAgLymx-V39ehEbU_iSR9oLVs5wHKZSqffVcX5HoShDuFDmMCPA5LxdOl_Do=s1600-w400-h400
Les Philosophes,4.2,https://lh3.googleusercontent.com/places/ANXAkqGgDI1Anmqccf5BGoUkmPifj1Aay_7QW3i8Xz2bD6O6DaNXvXTONDHaSMoeHLtmA0z8UaXcu8Fh5IKDJgzvWPdO-rP361qisB4=s1600-w400-h400
Le Petit Japonais,4.5,https://lh3.googleusercontent.com/places/ANXAkqHavZGzv3TVUTHpaKLiUTo3oc01SlQjWwXpz-eik81f3nCoI9lZVfoOCRXF1e5synxiGbaLFieJENqiXJzANIO03d9-hLA0aY8=s1600-w400-h400
Le Carrefour Café.,4.2,https://lh3.googleusercontent.com/places/ANXAkqGf4_LVPDzj-MmR84E9khHdYh32mBDOlP97ZRrtEArlgtRTCe4WwF1VzNbGttt_S7ng7w1t99knnltC8BNwa9RinGCDjZm_LyA=s1600-w400-h400
Chez Julien,4.0,https://lh3.googleusercontent.com/places/ANXAkqEQXvo7GaTPLjJuQeU8cW0JOevPgI_xNwzcHwUiRJN6T4c3wvAPKrra4BHSai_AfD_HuDsTVQ3ZiUDvrDmkf-WL97v5lua2i_A=s1600-w400-h400
Suan Thaï,4.1,https://lh3.googleusercontent.com/places/ANXAkqHTf3hCZRIov6hcG4doIiMJc3kfcCtwjfWccZOtWs0iwBa1190c1HUCc74D0ZeF0M2qACOLvpOUK9wpssiVPV3mPuVxWOxywRE=s1600-w400-h400
Bel Canto Paris,4.7,https://lh3.googleusercontent.com/places/ANXAkqHBBBlDdghZRy0pYox3mVq969Gy2PGNE-m-X7XciIaKpaNUDa6s-byRvSnJIoC5_TGE0cXm5accBK8vYvkVpgqpNx7PtKFvsrI=s1600-w400-h400
Galerie 88,4.5,https://lh3.googleusercontent.com/places/ANXAkqHEbfGLOKgXz3dCmvNCo3bjtlWHXTO_qWLF-8gT89bUd6seqwJvgVsDhMP6C9cVflahG2wdQp8QotgUpTmj_Si8Vovgs_sIIfA=s1600-w400-h400
Au Bougnat,4.4,https://lh3.googleusercontent.com/places/ANXAkqGMU0uTAo8rfiuED2zNsXVQPqDMIpzhI5W-Pg9hWg_KfmZ2l-SQPmWwmNCi79_2L85Ixle9HY6-QHbvmXhNOjx1-XPwWYel3Q=s1600-w400-h400
Don Giovanni,4.7,https://lh3.googleusercontent.com/places/ANXAkqGeZjP_JbgVcWIcdOHxhYnlD63IYwbiOujJWx-L9tzII0tMMAH7ghHJa60pYaa4KQkObBo25BNNVItzz_nBAgYSThvbURzzYoU=s1600-w400-h400
