Name,Rating,Photo_URL
Hotel Lunik,4.3,https://lh3.googleusercontent.com/places/ANXAkqGqdgQCcUAF49ppLA0dN1R4KFLGRTdOt88Ep2NVRvp_OyuS7pxu_5Fbqyf67oK3fdSuXv6pJ1rJBnVCJUyLHquisvhtC6rDvo0=s1600-w400-h400
Hotel Abri,3.8,https://lh3.googleusercontent.com/places/ANXAkqGa-Gi_F-9-XklJyk3PZNoqfOy89guNfD6-ujS_3xNW_HW3BKU9KIL3LTG33hFdQZjHZGPD1ktTWQkK6m-JQudZ9uelPk2xS1Q=s1600-w400-h400
Radost FX Restaurant,4.1,https://lh3.googleusercontent.com/places/ANXAkqHkvpI8w-cNuHbrdoDDzCMggbV8kE7BCGOwqL1thR5en8T9vMoXPg657xkIPoaSZ-aI3mk-CdelX-J0Acs6QhmOCiIRn1SY7xo=s1600-w400-h400
Aromi,4.5,https://lh3.googleusercontent.com/places/ANXAkqETeDRg6SZfHe8oM5SRXFIbJ4Qg0jlzen64oiUKSH7MOlT_P9_bsXR54LD3VzL7wpoNmW2XazLy2wtPO9rmkWwg-sDi-UDmUTs=s1600-w400-h400
Grosseto Vinohrady,4.3,https://lh3.googleusercontent.com/places/ANXAkqHgfNaSq139wtY6hhRXiKSPfc49dpePQauL7x3YSFMRx04dPt3Rws-9bExFDt6GU8N8ZaZgE0V755uvAKjDxGCy5rzLm0P0Qo8=s1600-w400-h400
Zapomenutý Čas,4.4,https://lh3.googleusercontent.com/places/ANXAkqH2FFSSAg7rLy8-dZP-JBWSgharruLIM-o8aJoZDm99YcEoWT85EBuYT9q3So21-WpKv-M_NCh_bAAzkQJoQqzMzCzGxNItQG0=s1600-w400-h400
Restaurace U Pošty,4.1,https://lh3.googleusercontent.com/places/ANXAkqGQmFeIs1Ht0VddWtSN2t5y97RJ6jJuGfYdVGvibpGWYqp_8xcUZnLjs7W5tdM4xEmr4hMM-9xLrXnS3ssxj1wqYYwL2bgwPH4=s1600-w400-h400
Restaurace Na Pasece,4.1,https://lh3.googleusercontent.com/places/ANXAkqF0-dJJIPXKoLh5eLQoh5PBzLyxf_b99g93onzlZ20WcqCv-NIr2J2o-ifkN9ci1ijhXm-zAPbMO5dzok0AWlUMDflBDqJROKo=s1600-w400-h400
Mezcal,4.1,https://lh3.googleusercontent.com/places/ANXAkqGmjnNbQOgat8fM34cTOsZhk3dV8_bvj43ybomEuYZkQdkiC2pu6DCJXT4jw1Yf5lx9J1WqL6p5_Yt57CWOQMIdyxUUgnShQAE=s1600-w400-h400
Las Adelitas (Americká),4.4,https://lh3.googleusercontent.com/places/ANXAkqGRp3HjGBNWdvrTKDeDAbel13fcHPTpYOd-C1avKhZ3-R7qHx3C4fQv9HktMoFZRqsdSqKJ0GXd3ZfyzKu5SjKT-FokxpHG3zo=s1600-w400-h400
U Bulínů,4.6,https://lh3.googleusercontent.com/places/ANXAkqH6-bsg4udQRpyWZeqRiik87UPpRTmTehzBs05e8kPxXtAC8pnuefFNF1B_g-dIbrhMDpycSR6Y0FCxDDXM9BiRZfs_KCOCF-s=s1600-w400-h400
Restaurant Sokolovna Vinohrady,4.1,https://lh3.googleusercontent.com/places/ANXAkqEycQ8UUQWVkZmwoOcTM2rhpPw4E2d8EuJrIXxfBeKJvdcJ2YVGQDa2KrlVxE2PAut_DrCY70Zn_dSvZsgYKf33j1olwUVQZU0=s1600-w400-h400
Hajnovka,4.5,https://lh3.googleusercontent.com/places/ANXAkqHSvh6lrdwYnGW2Q15kAtM-p5xXGkETxsYNkJZA91pmErimfR6jqTvYcH0rPemNLJNCnDX0Fq5fqw42vS1QiyQqlee5jOZKpY0=s1600-w400-h400
Víno U Ály,4.8,https://lh3.googleusercontent.com/places/ANXAkqFgVLUUhSFSR-Ll26pcMFgDPqtnfkCp8l80nMi7cUxJTP00WG6ayT_HcXEv_1RmUM5z1gCHN82sjFK5kMBljXtbObyTw0OFVEA=s1600-w400-h400
Lal Qila The Indian Restaurant in Prague,4.4,https://lh3.googleusercontent.com/places/ANXAkqH8Sh351j8_ZuZYASW-p-9QkygaomjaKQC_5Y95ZNETXQp56A69bJDM0gsnPfFflg-9kZ7-Mv7o_nD5UVmmSpL0tENAX8FUymM=s1600-w400-h400
CHOCO LOVES COFFEE,4.6,https://lh3.googleusercontent.com/places/ANXAkqGmwLs1nZhJlMitwDa8QSV2cR_Lq8dVokwnIvV42zE07EOtlLqxhAlaN-WOIAGQJo4i0klGSdJ68KybuQelKBl0RmKAhbzal6k=s1600-w400-h400
Mezi Srnky,4.7,https://lh3.googleusercontent.com/places/ANXAkqEeyjX7mm-RYx3Ed60dcX0nhP2cPP6dta9cZxrYTz9RGRi86SSCIhlrVEUS_2LqC-7aOoEJbYuPYcMqxYIQShB0Ay3anOk40xs=s1600-w400-h400
Yuniku korean Charcoal BBQ &Sushi,4.6,https://lh3.googleusercontent.com/places/ANXAkqH5njw2BOL84L_8T-8rowyE-S_iVeJZ-sVfYncM9t0J6vhBDjMqVqFAR2WRA-7h9ymY8W3CEJEI8J3rgZqhIZkR5LZZPHapGv4=s1600-w400-h400
