Name,Rating,Photo_URL
UNAHOTELS Decò Roma,4.4,https://lh3.googleusercontent.com/places/ANXAkqE75ZjfNILzI20k8CEDFeJnK7TPSmRm-OxqUHNq-yEaiUo_D4VEpBuRK-68xntxXvNf1DOkDbiLIwVL83ffj-9s_EhZNu5DIcg=s1600-w400-h400
Bettoja Hotel Mediterraneo,4.1,https://lh3.googleusercontent.com/places/ANXAkqFcPcZianwdf85fcXLgAG2a5TcvJTrXse1Zz84M6LaEg8qM2lqSfNolCg3dksdwX0U76Gg0TjcD58jXfNpWi8Mc0i3Ibh7amZQ=s1600-w400-h400
Bettoja Hotel Massimo d'Azeglio,4.1,https://lh3.googleusercontent.com/places/ANXAkqHgidY8qZyGXW0j61IX63VTrMizsFL8PXjok_xkQ4txFPo3QhmZ9YUROiTP0wjG4KyMjNEd05OjRCHvOnCMH8yKlCwNSbV9qrY=s1600-w400-h400
The Flann O'Brien,4.2,https://lh3.googleusercontent.com/places/ANXAkqH6EcqLYaGu9ShOcLUyCs7_-KlMBTAhqHJT23SRXPDJVNVFkHKGGXZB96Eh6o8Otrbnlu_30oSpTxvv--UJOaYj88KcBhdS2B8=s1600-w400-h400
La Matriciana dal 1870,4.3,https://lh3.googleusercontent.com/places/ANXAkqHtA28iy_TgQXPI5K9VN2G7b1QV6O-uaseRZhfxXbfdK1-cXo0XFnswULQyboMM6kpOwIHxRgc5yqzng_I9Oy0QwMfdUPbbObw=s1600-w400-h400
La Gallina Bianca,3.8,https://lh3.googleusercontent.com/places/ANXAkqFR5d2ilavl9X_TrGvBvLTJJlhQzpN_Hpa4omum7NRRNdoUVSOsXPo3dMy__swSUKtUNtdIaFYi78lpPZ-odB-kaHUHKVaa83s=s1600-w400-h400
Cotto Restaurant,4.2,https://lh3.googleusercontent.com/places/ANXAkqEKXkfU-_CN7OhouKEFO_8ixExFP0W0r5gCPLESO4gKCNA8FhlakEEY3Go21Qvyhkc1e3hn1miO-NhrmM9QAGjkKxhIg4Grpyw=s1600-w400-h400
RISTORANTE STREGA,4.0,https://lh3.googleusercontent.com/places/ANXAkqFL59oe_5Ffw9csXe6z7KzU8iObdJvMbuAAJji5rpzeDYLd6exu3Q2Q4i_T2kKauCAJJhddoSCftAiv-K8Y731Ox16ApWqqs3Y=s1600-w400-h400
L' Angolo di Napoli,4.4,https://lh3.googleusercontent.com/places/ANXAkqEjDGsB6NbUPRYcJDRNFdHwt_V1H4V3Wbj6kLkazuiSoh526QagAcO1XRnVvGWF4tVd-jrCHiVvcGJua5L9YbhGFuTJTUeMB44=s1600-w400-h400
Il Cuore Di Napoli Ribelle,4.4,https://lh3.googleusercontent.com/places/ANXAkqEe4q-Coif_rt7ztJIwpHkub7cylbdAWBip8awjiXMArznjVPEUHlabgEXtpVkO49AuZuzsXjqyqW451cwjf6e1NxXh3CtbHYM=s1600-w400-h400
