Name,Rating,Photo_URL
Austria Trend Hotel Europa Wien,4.4,https://lh3.googleusercontent.com/places/ANXAkqFbeNnVumdabAMmJqyJW0_QPrIdvQ8s5n_5tkcUqz7cdZk6s-qPSZhukuZWd2rFHmT5BSuqX9b_Fz8N1wtTv_XjGgvaVJNZkIE=s1600-w400-h400
Ambassador Wien,4.2,https://lh3.googleusercontent.com/places/ANXAkqHpa5gujEnP6HIF7Wmk3VXgAoJpiIGEsIuspbQ5QBN7yrnqMq21E41OqrUUeHZATwSBEm3rW008WY8Hs_OouQlOiRbDfatPJqI=s1600-w400-h400
Do&Co Hotel Vienna,4.4,https://lh3.googleusercontent.com/places/ANXAkqHNLIuAKb-1Qs_fSTQ1hhHTx0i8g9qpilYp5rd9VYnelEeyY8LOQesbQL3ZcW4ukuBFaT67SutroFrl9syvdgDhduUt9VWctcQ=s1600-w400-h400
Hotel Astoria Wien,4.3,https://lh3.googleusercontent.com/places/ANXAkqFVh_OhiI3dkjg3PWlUcMIYbKMfefecUg1VZlBkjg6WCYHfR7s7w-N_Xxm2KMQQPTj0NfT6wvdx0mOA7fBYIM7ojkXlWrW62Nc=s1600-w400-h400
Zwölf Apostelkeller,4.0,https://lh3.googleusercontent.com/places/ANXAkqHrfOE2OQVFCkc19qv_EQ1Sqf06ON4nUMbwg1AGfO9DzN52WBMPRX1zxAr0PqxpkfduA79jA30puNQ4nogsOXdrh20swCN8L2c=s1600-w400-h400
Plachutta Wollzeile,4.2,https://lh3.googleusercontent.com/places/ANXAkqGLjYr6VrkNh8iVd0JThpwgsPeCfLXQ1kizO4yK_LCEOuDH7OgUpNOMKwiD3rJ_mUrHBdyF8xdN41OkUpXEqbspktp0233-HQ=s1600-w400-h400
Griechenbeisl,4.5,https://lh3.googleusercontent.com/places/ANXAkqEY6XURLwxVBrm8ng9UKWA42C6qRwnxx1e9KnHDzA-Tl2A7VjGIUxIMMKRgqs8WI3_cEjykl_qBZ2ID6pzEBYb6D07nUDheS60=s1600-w400-h400
Fabios,4.1,https://lh3.googleusercontent.com/places/ANXAkqG68QcQYDRCH9JhjBm_5SZnuwgnGFiQWYA-rBqG2w2hmNBU_5PFCt2UFzLbPISkTsxDCHS7S_57PNkaY_SuNTvT-loWdRyuirE=s1600-w400-h400
Nirvana - Das Indische Restaurant,4.1,https://lh3.googleusercontent.com/places/ANXAkqEaApgry6fFY9w47ytJ55l8oYzTFSXq4IKiwyou106aA6eS_6CguOeBynGKmQiVRj6lU3ZXpW5Dvui7o0flgkOaKFkAS4e-v1c=s1600-w400-h400
The Guesthouse Vienna,4.6,https://lh3.googleusercontent.com/places/ANXAkqE_Ts6_NC2rb4a2v_PJbhEEafsQnsYqCRJgIPe0Hj8qwrHSysStWHwy1ASpyVv6qL03biLUBAed-x93qkTjW_F7mzvL932OtAQ=s1600-w400-h400
Zum Schwarzen Kameel,4.4,https://lh3.googleusercontent.com/places/ANXAkqFYzjj4AaEOA667WYAmTPMbUH2sd7VSTkG4KLU4RgdHrFfL9W6U7ErK8PkbvHehAiEZBme7eJOO5fWmxTvTqPY77mDJ9Ud9DTc=s1600-w400-h400
Buffet Trzesniewski Dorotheergasse,4.6,https://lh3.googleusercontent.com/places/ANXAkqGAdxZVncZxCyhGUaEKWwsdBPU9lATP75pKAzpfY7_a7GpA4BRyIfukqSx25ElKTD5aOAoyIyTuH1XsknEloCSYmcyFzhLIf_A=s1600-w400-h330
Krah Krah,4.4,https://lh3.googleusercontent.com/places/ANXAkqEFIL9FMxFFvQEABd2D48NEKRGhcV3bz8LR5im6tW1Ko5dxj1DH4K8nh-Eui-CXeh67cpXU2SI_pgK1FCcHnAJ5uN5nqW-wVSM=s1600-w400-h400
Café Diglas,4.2,https://lh3.googleusercontent.com/places/ANXAkqHZNya-23cyLkFbHp2WzAIU3XszZnx5p98UNVbfnln7L5aizoNJ2ItdHP8DNgV-4FX6oO-jBlb4OLMqnSWWf_wSjsticqLlw7U=s1600-w400-h354
Restaurant Al Borgo,4.6,https://lh3.googleusercontent.com/places/ANXAkqG3Ui0ISi6iYmIfWBTvUNsBfJjAMbOjT2GI87h7QOzRvkuXA9DffwylLyWT2ZkBuZ-ydCsLZj6mU_FTipbqZbuRTkgxubI9o6o=s1600-w400-h400
Restaurant Der Kuckuck,3.9,https://lh3.googleusercontent.com/places/ANXAkqHEJdREdYP23CvJAauy6ItpUTCPLJCeDL5k1Xsmk9ivexLrbVnrg-Dl-Xpb-WXOXCo9ejoziDr49LCC5IJfvAR-Fa-HrvjqeMc=s1600-w400-h400
Pfudl,4.3,https://lh3.googleusercontent.com/places/ANXAkqEYz0HOjVPNVhqOKBAOs9vwdb-qvYT8knqI1JrzdMIUwz0cfNg_Y2I5Cew35n6pVl1FFdVoZPSxRRZhptIh3sdVUXqCSSXE4Tg=s1600-w400-h400
Café Korb,4.0,https://lh3.googleusercontent.com/places/ANXAkqEBYosXZbgsukK8Sd9mPZjglpacoNY0a74b-HH53I_3U_zxB_Zq4FauJePLRvVk8IEe_bmEvsDg91qcIqlusNaVvyLd4cwTrWw=s1600-w400-h400
Zum weißen Rauchfangkehrer,4.4,https://lh3.googleusercontent.com/places/ANXAkqG9et66co1hYDTe7tlDRt3BW8QCK4D4yZfW0-DabCOaP9W8xtyln1a1nuihEwSnCqE2EikFeBJvAWluxa259HOJlYal3G2BDus=s1600-w400-h400
Bermuda Bräu,4.3,https://lh3.googleusercontent.com/places/ANXAkqGd3Hi-xVJ406AYXPs0A1cqywwhjkZv9IMzM4LrXSSZf4jWCSezXHb6jJSWhaH5EkcQnFZ85Lhl40CQDFKYFNVFZjNl9qguxoc=s1600-w400-h400
