Name,Rating,Photo_URL
Central Plaza,4.2,https://lh3.googleusercontent.com/places/ANXAkqFom6MrxgELsgN7xL34jidBAkinMV2kvgzeLBIjyvCpsaIXb-WBq5lzbBQYIfp_4ygngoH_Iag9A7kB41F5ekO2CAFzOcSrOrY=s1600-w400-h400
Hotel Scheuble,4.4,https://lh3.googleusercontent.com/places/ANXAkqF3ZCAkXP3b8NbNM2cQ2n6jdAUX9Pw2s9AGnicA00eZoId6AqtO9V40tj8s7fYIg2yMV-HWxSmOHwj6cUZ24dHGAgXwCjKDAGM=s1600-w400-h400
Hirschen,4.0,https://lh3.googleusercontent.com/places/ANXAkqFrWoDc2OOZZar1gc-3FzVjjqLOfAOXF1pvWz1Nvh4_55m32VLcvMQMwfOslLfjKXnJel6OAsE0pcMtrRbhv3WF6RbbWoO6pmU=s1600-w400-h400
Barfüsser Sushi Bar & Lounge Niederdorf,4.3,https://lh3.googleusercontent.com/places/ANXAkqE0Rn3lL1XlGemlEuDU5Ndj7Zh_sac59-P55f4OeOtaDDJND4XYKl-dNayu0PjCGGzrgzL8Af-vsgAPDZLt8z-AETkxOd_W5is=s1600-w400-h400
Hotel Wellenberg,4.2,https://lh3.googleusercontent.com/places/ANXAkqHy7dlWjm74wnoO7aO3JG1bAAeHGOgIIAxp1Yk5yuhECexiwVta2EMa_cxs-c0nxqDYhKnlueatsHIK0q93g-QwBd8dhkyyu14=s1600-w400-h400
Hotel City Zürich,4.2,https://lh3.googleusercontent.com/places/ANXAkqGujZxusc9iWs-KVjfgbwA5NhcHg-HQCI5nQ3P7SiviSPSFvieb3VbU5lnJ6c72N5DMmJypasubwOhzwpt8_77YiiW9A5mvmNc=s1600-w400-h400
Kindli Hotel,4.8,https://lh3.googleusercontent.com/places/ANXAkqF128xKw2No2sK4a8AhwJ0JP9NjvWx_J6RP_1gwXRECOuJdW_dBIJkKa5RB6RHMggdoMcizsQr6N6Sc3_QE0KvQeRipxTtuaQY=s1600-w400-h400
HITZBERGER HB Halle Landesmuseum,3.9,https://lh3.googleusercontent.com/places/ANXAkqHTbkvEHbiVhULT67m4Xcc36DLby0I4DGuTP9nh349viy9M4-7u6d0iK7U6A97JHF_77D-_8upNd0PvGvgdXt-8dayhbKT4KZU=s1600-w400-h400
Jules Verne Panoramabar,4.5,https://lh3.googleusercontent.com/places/ANXAkqGmSbuZEgmBvlmuoVJe99KcnMRQ_LjruxH6-CigTmlWfcuf0FLkNh0JpFpQEJdvqiHG5w-bHQaj6NcU_SluHyQ7wRAcG9Su70A=s1600-w400-h400
Sala of Tokyo,4.5,https://lh3.googleusercontent.com/places/ANXAkqEKiFLSF8rPMxsfscxIRIoIzDvD6k39hQ7C4Dzeu6hVEuNn7eHqEDNWv4-C79YDWtQqoxET7tOOKvsyMTR2TPBvccm0ax3s_Ew=s1600-w400-h400
Walliser Kanne,3.9,https://lh3.googleusercontent.com/places/ANXAkqHAW6VhTn9Z7dd3Gp77JwzcobShb46H-4KH6IioLmeU6o7LQztk0lGgHEfukZTY6jwiPYnaOcAMEBtl_AztTIPrqhieg4PC6B8=s1600-w400-h400
Casa Ferlin,4.7,https://lh3.googleusercontent.com/places/ANXAkqHh96A5FRQwK76xvNqF3uVeTjGWu52jwRgmp04VR-CFGa3X_aIQcKoEtrz7bhiRFkqmZE-HelFH9Y5VALBtehNyNWMbIChOX3A=s1600-w400-h400
Brasserie Lipp,4.2,https://lh3.googleusercontent.com/places/ANXAkqGe7knZHDR4O-h2HhqSm6MNomv3dLDD6yNNOyfqbskfaHNMoN6VuFTLAArSeM10b6XWkINEvf-qCskHMYTXorIh91TtqLsXGhA=s1600-w400-h400
Restaurant Schützengasse,4.4,https://lh3.googleusercontent.com/places/ANXAkqHZcew-wMlUCmsOuB0GSYVbZYefWiHxG5RWQEBgV6XJUQs4G1sVf6lYR3AAsMgs8nbEPRpt-YwJbrhm9H-bh6tWpMnkNAZPQlo=s1600-w400-h400
Bierhalle Wolf,3.9,https://lh3.googleusercontent.com/places/ANXAkqE8lkxlCJwBerVyl3HpUHQyiNwb7pHFCvPaUL5LsOv9jqR3RzN7VnbM7TCcNH1DU-3htEgB7pd34GrqXFDAtg71Lxl-gYhVjIM=s1600-w400-h400
Restaurant Commihalle,4.3,https://lh3.googleusercontent.com/places/ANXAkqEdXBfc1A5H_PWKWKXVsvhEDpya6d0Z1qxk80OHrF_1vAp0puZ750w5vvttfJDo5eaI2Vlw_4baTByN5KZj6hNXcitBVKbo8cU=s1600-w400-h400
McDonald’s,3.7,https://lh3.googleusercontent.com/places/ANXAkqFxOXNDN0OmVtpVm5Rs1ykyeHEP8GTdaal5XBZVXEEdxFh5QwzNVMSAm6iPZN76oj-_dVDjxLer7U3wtpiMvogkc_mmQYQ_JaE=s1600-w400-h400
Rheinfelder Bierhalle,4.3,https://lh3.googleusercontent.com/places/ANXAkqHuF2y9aN6P4qqOrPEpeHIAfmWgEzcrawoiRHgaBwHhbDzLTPIZeUUgScCPcFL5i0lC1SwpT2e4mlyv4JvxpJmsp5I3HYLK3Yw=s1600-w400-h400
Weinstube 1923,4.7,https://lh3.googleusercontent.com/places/ANXAkqFrf_o2T_BvOXz308HK2lToqeJh1SoVSb5qTOEC4zAdgbY1jSXSKBrELEvmaseJzSUEWSYvbpBhm5soXb_AhJBl1yNae9pmYC8=s1600-w400-h400
Ristorante Bianchi,4.6,https://lh3.googleusercontent.com/places/ANXAkqGOLB_huEMMo1a7cf-ASbIvGImY-TqOJ2iUb3EtrhqDk6tapXDd6TPWaHF0Bht-woB7EDo2IHB8ciMZ2r1-Lb1w59r1t4CvZGc=s1600-w400-h400
